profile_id	package	version	architecture	repository_filename	artifact_sha256	artifact_bytes	artifact_identity_state	artifact_role
base-obsidian-x11-provider	gcc-libs-glibc	14.2.1-1	aarch64	pool/stable/g/gcc-libs-glibc/gcc-libs-glibc_14.2.1-1_aarch64.deb	919c2e80a629d674dd450b0a0edd11378284f1ed9d2a8fd3c9c91d7ac72f041f	24314568	PASS	SUPPLY_ONLY_NOT_PACKAGE_WIDE_RUNTIME_AUTHORITY
base-obsidian-x11-provider	libexpat-glibc	2.6.4	aarch64	pool/stable/libe/libexpat-glibc/libexpat-glibc_2.6.4_aarch64.deb	f911eb4f29a2f1f048562db880152b633334b59a2a705b4c5077b5c579ec7d5a	107364	PASS	SUPPLY_ONLY_NOT_PACKAGE_WIDE_RUNTIME_AUTHORITY
base-obsidian-x11-provider	libx11-glibc	1.8.11	aarch64	pool/stable/libx/libx11-glibc/libx11-glibc_1.8.11_aarch64.deb	a0c249dd82f5bcf46d61501a436fcfc2e317869a06913c4b8488c9d3d19dca1a	1984312	PASS	SUPPLY_ONLY_NOT_PACKAGE_WIDE_RUNTIME_AUTHORITY
base-obsidian-x11-provider	libxau-glibc	1.0.12	aarch64	pool/stable/libx/libxau-glibc/libxau-glibc_1.0.12_aarch64.deb	7f2c0624638feed515899e3acbb1ec475ba97c9442b5a276dabaea652d9db62c	10528	PASS	SUPPLY_ONLY_NOT_PACKAGE_WIDE_RUNTIME_AUTHORITY
base-obsidian-x11-provider	libxcb-glibc	1.17.0-1	aarch64	pool/stable/libx/libxcb-glibc/libxcb-glibc_1.17.0-1_aarch64.deb	5e737e2bb57a0a1919be298b5f60c8a6b8f9cc79225f1b90c566bcdba73133a0	952208	PASS	SUPPLY_ONLY_NOT_PACKAGE_WIDE_RUNTIME_AUTHORITY
base-obsidian-x11-provider	libxdmcp-glibc	1.1.5	aarch64	pool/stable/libx/libxdmcp-glibc/libxdmcp-glibc_1.1.5_aarch64.deb	b07513746d141bb11ff2c5cd496c0131da3ddbdb24bf92d51635d6b3c93ad1fb	25556	PASS	SUPPLY_ONLY_NOT_PACKAGE_WIDE_RUNTIME_AUTHORITY
base-obsidian-x11-provider	libxext-glibc	1.3.6	aarch64	pool/stable/libx/libxext-glibc/libxext-glibc_1.3.6_aarch64.deb	09a989f92535f27343bf9d8904bf43e7a8a7827f5ef910eed45d112ad5bf0590	101604	PASS	SUPPLY_ONLY_NOT_PACKAGE_WIDE_RUNTIME_AUTHORITY
base-obsidian-x11-provider	libxrandr-glibc	1.5.4	aarch64	pool/stable/libx/libxrandr-glibc/libxrandr-glibc_1.5.4_aarch64.deb	2e403fc0d8f319933866f63478148f436757c801c5162362d3aa6732d7a567b8	25140	PASS	SUPPLY_ONLY_NOT_PACKAGE_WIDE_RUNTIME_AUTHORITY
base-obsidian-x11-provider	libxrender-glibc	0.9.12	aarch64	pool/stable/libx/libxrender-glibc/libxrender-glibc_0.9.12_aarch64.deb	86b181007e83f8055f77b964aa77dce2fd48949c04b5d5f1f7be9f8c83cfab52	26984	PASS	SUPPLY_ONLY_NOT_PACKAGE_WIDE_RUNTIME_AUTHORITY
graphics-freedreno-provider	gcc-libs-glibc	14.2.1-1	aarch64	pool/stable/g/gcc-libs-glibc/gcc-libs-glibc_14.2.1-1_aarch64.deb	919c2e80a629d674dd450b0a0edd11378284f1ed9d2a8fd3c9c91d7ac72f041f	24314568	PASS	SUPPLY_ONLY_NOT_PACKAGE_WIDE_RUNTIME_AUTHORITY
graphics-freedreno-provider	libdrm-glibc	2.4.124	aarch64	pool/stable/libd/libdrm-glibc/libdrm-glibc_2.4.124_aarch64.deb	08efad935d3e88f5f359346b56894f46fd287072361b7f76884ebb88dfa4b19e	330252	PASS	SUPPLY_ONLY_NOT_PACKAGE_WIDE_RUNTIME_AUTHORITY
graphics-freedreno-provider	libx11-glibc	1.8.11	aarch64	pool/stable/libx/libx11-glibc/libx11-glibc_1.8.11_aarch64.deb	a0c249dd82f5bcf46d61501a436fcfc2e317869a06913c4b8488c9d3d19dca1a	1984312	PASS	SUPPLY_ONLY_NOT_PACKAGE_WIDE_RUNTIME_AUTHORITY
graphics-freedreno-provider	libxcb-glibc	1.17.0-1	aarch64	pool/stable/libx/libxcb-glibc/libxcb-glibc_1.17.0-1_aarch64.deb	5e737e2bb57a0a1919be298b5f60c8a6b8f9cc79225f1b90c566bcdba73133a0	952208	PASS	SUPPLY_ONLY_NOT_PACKAGE_WIDE_RUNTIME_AUTHORITY
graphics-freedreno-provider	libxshmfence-glibc	1.3.3	aarch64	pool/stable/libx/libxshmfence-glibc/libxshmfence-glibc_1.3.3_aarch64.deb	dca9418b1c3bd24b7bb47261eda17a40646c7f4fb903b10c77a9e6c08d38c1c7	5904	PASS	SUPPLY_ONLY_NOT_PACKAGE_WIDE_RUNTIME_AUTHORITY
graphics-freedreno-provider	zlib-glibc	1.3.1	aarch64	pool/stable/z/zlib-glibc/zlib-glibc_1.3.1_aarch64.deb	9e9ea87059482894e4c6cef1101bf47be2fc47012d90fd26bc3c7621e2d33a31	74572	PASS	SUPPLY_ONLY_NOT_PACKAGE_WIDE_RUNTIME_AUTHORITY
graphics-freedreno-provider	zstd-glibc	1.5.7	aarch64	pool/stable/z/zstd-glibc/zstd-glibc_1.5.7_aarch64.deb	5829a6c2f6f191174b4ee23586e5d9b756c4b3cdf205ed9f826b79c0eb46d74e	430356	PASS	SUPPLY_ONLY_NOT_PACKAGE_WIDE_RUNTIME_AUTHORITY
gtk-font-device-compat-provider	brotli-glibc	1.1.0	aarch64	pool/stable/b/brotli-glibc/brotli-glibc_1.1.0_aarch64.deb	402c5b919f670e9d12438071c3daf02c6ed9d561f4dac2e7acd1b5939ec621ed	343044	PASS	SUPPLY_ONLY_NOT_PACKAGE_WIDE_RUNTIME_AUTHORITY
gtk-font-device-compat-provider	gcc-libs-glibc	14.2.1-1	aarch64	pool/stable/g/gcc-libs-glibc/gcc-libs-glibc_14.2.1-1_aarch64.deb	919c2e80a629d674dd450b0a0edd11378284f1ed9d2a8fd3c9c91d7ac72f041f	24314568	PASS	SUPPLY_ONLY_NOT_PACKAGE_WIDE_RUNTIME_AUTHORITY
gtk-font-device-compat-provider	libblkid-glibc	2.40.2-1	aarch64	pool/stable/libb/libblkid-glibc/libblkid-glibc_2.40.2-1_aarch64.deb	b6692956495dfd59ce70a854db5af86bae5f63791440e2cc5f21c26194b965fe	116032	PASS	SUPPLY_ONLY_NOT_PACKAGE_WIDE_RUNTIME_AUTHORITY
gtk-font-device-compat-provider	libbz2-glibc	1.0.8-3	aarch64	pool/stable/libb/libbz2-glibc/libbz2-glibc_1.0.8-3_aarch64.deb	984f6f80b4cd115d8adf99aee79f3cbbc5c073bc1fc708e8decd0a13323df4f0	32892	PASS	SUPPLY_ONLY_NOT_PACKAGE_WIDE_RUNTIME_AUTHORITY
gtk-font-device-compat-provider	libcap-glibc	2.69-1	aarch64	pool/stable/libc/libcap-glibc/libcap-glibc_2.69-1_aarch64.deb	8beffad4a426122b276b1b632fb4749837456393934a138d6dd77259cb6fcbad	87980	PASS	SUPPLY_ONLY_NOT_PACKAGE_WIDE_RUNTIME_AUTHORITY
