coverage_kind	source_id	sequence	implementation_symbol	enforcement_layer	synthetic_case	current_state	authority_effect
INPUT	LSLA-IN-001	1	model_input_source_issuance_acceptance	SYNTHETIC_DOCUMENT_AND_STATE_MODEL_ONLY	success	MAPPED_SYNTHETIC_NOT_EXECUTED	ZERO_LIVE_DOCUMENTS_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
INPUT	LSLA-IN-002	2	model_input_source_adapter_acceptance	SYNTHETIC_DOCUMENT_AND_STATE_MODEL_ONLY	success	MAPPED_SYNTHETIC_NOT_EXECUTED	ZERO_LIVE_DOCUMENTS_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
INPUT	LSLA-IN-003	3	model_input_source_evidence_design_acceptance	SYNTHETIC_DOCUMENT_AND_STATE_MODEL_ONLY	success	MAPPED_SYNTHETIC_NOT_EXECUTED	ZERO_LIVE_DOCUMENTS_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
INPUT	LSLA-IN-004	4	model_input_source_orchestration_acceptance	SYNTHETIC_DOCUMENT_AND_STATE_MODEL_ONLY	success	MAPPED_SYNTHETIC_NOT_EXECUTED	ZERO_LIVE_DOCUMENTS_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
INPUT	LSLA-IN-005	5	model_input_owner_activation_decision	SYNTHETIC_DOCUMENT_AND_STATE_MODEL_ONLY	success	MAPPED_SYNTHETIC_NOT_EXECUTED	ZERO_LIVE_DOCUMENTS_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
INPUT	LSLA-IN-006	6	model_input_owner_authorization_token	SYNTHETIC_DOCUMENT_AND_STATE_MODEL_ONLY	success	MAPPED_SYNTHETIC_NOT_EXECUTED	ZERO_LIVE_DOCUMENTS_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
INPUT	LSLA-IN-007	7	model_input_coordinate_receipt	SYNTHETIC_DOCUMENT_AND_STATE_MODEL_ONLY	success	MAPPED_SYNTHETIC_NOT_EXECUTED	ZERO_LIVE_DOCUMENTS_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
INPUT	LSLA-IN-008	8	model_input_revocation_document	SYNTHETIC_DOCUMENT_AND_STATE_MODEL_ONLY	success	MAPPED_SYNTHETIC_NOT_EXECUTED	ZERO_LIVE_DOCUMENTS_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
INPUT	LSLA-IN-009	9	model_input_execution_authorization	SYNTHETIC_DOCUMENT_AND_STATE_MODEL_ONLY	success	MAPPED_SYNTHETIC_NOT_EXECUTED	ZERO_LIVE_DOCUMENTS_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
INPUT	LSLA-IN-010	10	model_input_transaction_package	SYNTHETIC_DOCUMENT_AND_STATE_MODEL_ONLY	success	MAPPED_SYNTHETIC_NOT_EXECUTED	ZERO_LIVE_DOCUMENTS_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
INPUT	LSLA-IN-011	11	model_input_repository_baseline	SYNTHETIC_DOCUMENT_AND_STATE_MODEL_ONLY	success	MAPPED_SYNTHETIC_NOT_EXECUTED	ZERO_LIVE_DOCUMENTS_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
INPUT	LSLA-IN-012	12	model_input_remote_baseline	SYNTHETIC_DOCUMENT_AND_STATE_MODEL_ONLY	success	MAPPED_SYNTHETIC_NOT_EXECUTED	ZERO_LIVE_DOCUMENTS_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
INPUT	LSLA-IN-013	13	model_input_executor_identity	SYNTHETIC_DOCUMENT_AND_STATE_MODEL_ONLY	success	MAPPED_SYNTHETIC_NOT_EXECUTED	ZERO_LIVE_DOCUMENTS_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
INPUT	LSLA-IN-014	14	model_input_trusted_time	SYNTHETIC_DOCUMENT_AND_STATE_MODEL_ONLY	success	MAPPED_SYNTHETIC_NOT_EXECUTED	ZERO_LIVE_DOCUMENTS_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
INPUT	LSLA-IN-015	15	model_input_replay_registry	SYNTHETIC_DOCUMENT_AND_STATE_MODEL_ONLY	success	MAPPED_SYNTHETIC_NOT_EXECUTED	ZERO_LIVE_DOCUMENTS_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
INPUT	LSLA-IN-016	16	model_input_protected_state_boundary	SYNTHETIC_DOCUMENT_AND_STATE_MODEL_ONLY	success	MAPPED_SYNTHETIC_NOT_EXECUTED	ZERO_LIVE_DOCUMENTS_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
INPUT	LSLA-IN-017	17	model_input_orchestration_entrypoint	SYNTHETIC_DOCUMENT_AND_STATE_MODEL_ONLY	success	MAPPED_SYNTHETIC_NOT_EXECUTED	ZERO_LIVE_DOCUMENTS_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
INPUT	LSLA-IN-018	18	model_input_resource_limits	SYNTHETIC_DOCUMENT_AND_STATE_MODEL_ONLY	success	MAPPED_SYNTHETIC_NOT_EXECUTED	ZERO_LIVE_DOCUMENTS_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
INPUT	LSLA-IN-019	19	model_input_evidence_output_root	SYNTHETIC_DOCUMENT_AND_STATE_MODEL_ONLY	success	MAPPED_SYNTHETIC_NOT_EXECUTED	ZERO_LIVE_DOCUMENTS_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
INPUT	LSLA-IN-020	20	model_input_operator_invocation	SYNTHETIC_DOCUMENT_AND_STATE_MODEL_ONLY	success	MAPPED_SYNTHETIC_NOT_EXECUTED	ZERO_LIVE_DOCUMENTS_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
STATE	LSLA-ST-001	1	model_state_init	SYNTHETIC_DOCUMENT_AND_STATE_MODEL_ONLY	success	MAPPED_SYNTHETIC_NOT_EXECUTED	ZERO_LIVE_DOCUMENTS_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
STATE	LSLA-ST-002	2	model_state_package_verified	SYNTHETIC_DOCUMENT_AND_STATE_MODEL_ONLY	success	MAPPED_SYNTHETIC_NOT_EXECUTED	ZERO_LIVE_DOCUMENTS_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
STATE	LSLA-ST-003	3	model_state_source_authorities_verified	SYNTHETIC_DOCUMENT_AND_STATE_MODEL_ONLY	success	MAPPED_SYNTHETIC_NOT_EXECUTED	ZERO_LIVE_DOCUMENTS_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
STATE	LSLA-ST-004	4	model_state_owner_decision_verified	SYNTHETIC_DOCUMENT_AND_STATE_MODEL_ONLY	success	MAPPED_SYNTHETIC_NOT_EXECUTED	ZERO_LIVE_DOCUMENTS_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
STATE	LSLA-ST-005	5	model_state_owner_token_verified	SYNTHETIC_DOCUMENT_AND_STATE_MODEL_ONLY	success	MAPPED_SYNTHETIC_NOT_EXECUTED	ZERO_LIVE_DOCUMENTS_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
STATE	LSLA-ST-006	6	model_state_coordinate_receipt_verified	SYNTHETIC_DOCUMENT_AND_STATE_MODEL_ONLY	success	MAPPED_SYNTHETIC_NOT_EXECUTED	ZERO_LIVE_DOCUMENTS_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
STATE	LSLA-ST-007	7	model_state_revocation_verified	SYNTHETIC_DOCUMENT_AND_STATE_MODEL_ONLY	success	MAPPED_SYNTHETIC_NOT_EXECUTED	ZERO_LIVE_DOCUMENTS_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
STATE	LSLA-ST-008	8	model_state_execution_authorization_verified	SYNTHETIC_DOCUMENT_AND_STATE_MODEL_ONLY	success	MAPPED_SYNTHETIC_NOT_EXECUTED	ZERO_LIVE_DOCUMENTS_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
STATE	LSLA-ST-009	9	model_state_repository_baseline_verified	SYNTHETIC_DOCUMENT_AND_STATE_MODEL_ONLY	success	MAPPED_SYNTHETIC_NOT_EXECUTED	ZERO_LIVE_DOCUMENTS_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
STATE	LSLA-ST-010	10	model_state_remote_baseline_verified	SYNTHETIC_DOCUMENT_AND_STATE_MODEL_ONLY	success	MAPPED_SYNTHETIC_NOT_EXECUTED	ZERO_LIVE_DOCUMENTS_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
