evidence_row_id	package	version	path	content_sha256	lookup_name	soname	capability_memberships	direct_consumer_count	passive_map_state	passive_map_category	semantic_authority	profile_scope	runtime_inclusion_state	provider_authority_state	source_recipe_state	candidate_recipe_trees	artifact_sha256	update_domain
selected:8a9c16292d5355e28a1f	libx11-glibc	1.8.11	/data/data/com.termux/files/usr/glibc/lib/libX11-xcb.so.1.0.0	7ab88f66a4c53d8841cbfa3afa29e50eeff70678434c58c7171961b6da78cca5	libX11-xcb.so.1	libX11-xcb.so.1	graphics.vulkan.feature	1	REFERENCE_PATH	EXCLUDED_SEMANTIC_MAPPING	PLATFORM_INTEGRATION_PROVIDER	GRAPHICS_FREEDRENO_CONDITIONAL	ACCEPTED_CONDITIONAL	ACCEPTED_OBJECT_SCOPED_AUTHORITY	SOURCE_RECIPE_ACCEPTED	e7ec2c34d030119954edfe3e9d28e68b4da27b0f	a0c249dd82f5bcf46d61501a436fcfc2e317869a06913c4b8488c9d3d19dca1a	X11_PLATFORM_PROVIDER_UPDATE
selected:3e33aa3d32bd66274006	gcc-libs-glibc	14.2.1-1	/data/data/com.termux/files/usr/glibc/lib/libstdc++.so.6.0.34	4205855cce5501831acbcb88b024f705ec0f355ca8ea0ad62228848081e9520d	libstdc++.so.6	libstdc++.so.6	graphics.vulkan.feature	1	NOT_OBSERVED	NOT_OBSERVED_OR_NOT_APPLICABLE	GENERIC_SHARED_CAPABILITY_PROVIDER	GRAPHICS_FREEDRENO_CONDITIONAL	ACCEPTED_CONDITIONAL	ACCEPTED_OBJECT_SCOPED_AUTHORITY	SOURCE_RECIPE_ACCEPTED	5c6db1111e6af1cecc905f83e22c88f5b8ccb398	919c2e80a629d674dd450b0a0edd11378284f1ed9d2a8fd3c9c91d7ac72f041f	GENERIC_PROVIDER_UPDATE
selected:def58839d764caaa6426	libxcb-glibc	1.17.0-1	/data/data/com.termux/files/usr/glibc/lib/libxcb-dri3.so.0.1.0	8039415811aa6c775e59457436b02cd302d7973d9fbd69468fcc4177882614df	libxcb-dri3.so.0	libxcb-dri3.so.0	graphics.vulkan.feature	2	NOT_OBSERVED	NOT_OBSERVED_OR_NOT_APPLICABLE	PLATFORM_INTEGRATION_PROVIDER	GRAPHICS_FREEDRENO_CONDITIONAL	ACCEPTED_CONDITIONAL	ACCEPTED_OBJECT_SCOPED_AUTHORITY	SOURCE_RECIPE_ACCEPTED	4cd7d799304e6ea67ef5de174e77991022015129	5e737e2bb57a0a1919be298b5f60c8a6b8f9cc79225f1b90c566bcdba73133a0	X11_PLATFORM_PROVIDER_UPDATE
selected:84b003c68194803bf259	libxcb-glibc	1.17.0-1	/data/data/com.termux/files/usr/glibc/lib/libxcb-present.so.0.0.0	1969de5b3ffa90af342e15748c10eed14bd9c40d901ce4ade0275fd16457a981	libxcb-present.so.0	libxcb-present.so.0	graphics.vulkan.feature	1	NOT_OBSERVED	NOT_OBSERVED_OR_NOT_APPLICABLE	PLATFORM_INTEGRATION_PROVIDER	GRAPHICS_FREEDRENO_CONDITIONAL	ACCEPTED_CONDITIONAL	ACCEPTED_OBJECT_SCOPED_AUTHORITY	SOURCE_RECIPE_ACCEPTED	4cd7d799304e6ea67ef5de174e77991022015129	5e737e2bb57a0a1919be298b5f60c8a6b8f9cc79225f1b90c566bcdba73133a0	X11_PLATFORM_PROVIDER_UPDATE
selected:56706cfbedc0feb1aa04	libxcb-glibc	1.17.0-1	/data/data/com.termux/files/usr/glibc/lib/libxcb-randr.so.0.1.0	ef12d668682ac99dba386b017fc24609dfa81ad948accf5b3894d91850bf0679	libxcb-randr.so.0	libxcb-randr.so.0	graphics.vulkan.feature	1	NOT_OBSERVED	NOT_OBSERVED_OR_NOT_APPLICABLE	PLATFORM_INTEGRATION_PROVIDER	GRAPHICS_FREEDRENO_CONDITIONAL	ACCEPTED_CONDITIONAL	ACCEPTED_OBJECT_SCOPED_AUTHORITY	SOURCE_RECIPE_ACCEPTED	4cd7d799304e6ea67ef5de174e77991022015129	5e737e2bb57a0a1919be298b5f60c8a6b8f9cc79225f1b90c566bcdba73133a0	X11_PLATFORM_PROVIDER_UPDATE
selected:884a97ff626f34467a9e	libxcb-glibc	1.17.0-1	/data/data/com.termux/files/usr/glibc/lib/libxcb-sync.so.1.0.0	2dc864a8050acf3ab0eb896dae57a7991fdc4a76f7d583568b931137a0749e22	libxcb-sync.so.1	libxcb-sync.so.1	graphics.vulkan.feature	1	NOT_OBSERVED	NOT_OBSERVED_OR_NOT_APPLICABLE	PLATFORM_INTEGRATION_PROVIDER	GRAPHICS_FREEDRENO_CONDITIONAL	ACCEPTED_CONDITIONAL	ACCEPTED_OBJECT_SCOPED_AUTHORITY	SOURCE_RECIPE_ACCEPTED	4cd7d799304e6ea67ef5de174e77991022015129	5e737e2bb57a0a1919be298b5f60c8a6b8f9cc79225f1b90c566bcdba73133a0	X11_PLATFORM_PROVIDER_UPDATE
selected:f9a130c166e81e1375e4	libxcb-glibc	1.17.0-1	/data/data/com.termux/files/usr/glibc/lib/libxcb-xfixes.so.0.0.0	db5ce18da1b567a27ecd1a9e0550661dd196318448203bcf29a816d1193e9130	libxcb-xfixes.so.0	libxcb-xfixes.so.0	graphics.vulkan.feature	1	NOT_OBSERVED	NOT_OBSERVED_OR_NOT_APPLICABLE	PLATFORM_INTEGRATION_PROVIDER	GRAPHICS_FREEDRENO_CONDITIONAL	ACCEPTED_CONDITIONAL	ACCEPTED_OBJECT_SCOPED_AUTHORITY	SOURCE_RECIPE_ACCEPTED	4cd7d799304e6ea67ef5de174e77991022015129	5e737e2bb57a0a1919be298b5f60c8a6b8f9cc79225f1b90c566bcdba73133a0	X11_PLATFORM_PROVIDER_UPDATE
selected:0708bc3a0fd4e2c42619	libxshmfence-glibc	1.3.3	/data/data/com.termux/files/usr/glibc/lib/libxshmfence.so.1.0.0	5a0652d801ce63a2e33ccb1ba035a91f3212a89570083239ff6ee66e2effb9cb	libxshmfence.so.1	libxshmfence.so.1	graphics.vulkan.feature	1	NOT_OBSERVED	NOT_OBSERVED_OR_NOT_APPLICABLE	PLATFORM_INTEGRATION_PROVIDER	GRAPHICS_FREEDRENO_CONDITIONAL	ACCEPTED_CONDITIONAL	ACCEPTED_OBJECT_SCOPED_AUTHORITY	SOURCE_RECIPE_ACCEPTED	aa0134357901f24dbfe1991b2c705c1b719e0908	dca9418b1c3bd24b7bb47261eda17a40646c7f4fb903b10c77a9e6c08d38c1c7	X11_PLATFORM_PROVIDER_UPDATE
selected:f4ed015674a377a1eb16	zstd-glibc	1.5.7	/data/data/com.termux/files/usr/glibc/lib/libzstd.so.1.5.7	4c03a9a2d4770a862c70dc16d52b6bfee826f695b2b73aba43c8af30a074a870	libzstd.so.1	libzstd.so.1	graphics.vulkan.feature	1	NOT_OBSERVED	NOT_OBSERVED_OR_NOT_APPLICABLE	GENERIC_SHARED_CAPABILITY_PROVIDER	GRAPHICS_FREEDRENO_CONDITIONAL	ACCEPTED_CONDITIONAL	ACCEPTED_OBJECT_SCOPED_AUTHORITY	SOURCE_RECIPE_ACCEPTED	a0e399943731bd0f6802206c2a10dbd313f0cace	5829a6c2f6f191174b4ee23586e5d9b756c4b3cdf205ed9f826b79c0eb46d74e	GENERIC_PROVIDER_UPDATE
selected:4561ee8198805d29e28d	gcc-libs-glibc	14.2.1-1	/data/data/com.termux/files/usr/glibc/lib/libatomic.so.1.2.0	c560ec0574d7ee5b1b773869b805d1926970bcf81dd58cbea92e4b0a85593651	libatomic.so.1	libatomic.so.1	electron.gui.gtk3	1	MAPPED_SELECTED_OBJECT	NOT_OBSERVED_OR_NOT_APPLICABLE	GENERIC_SHARED_CAPABILITY_PROVIDER	GTK_COMPAT_CONDITIONAL	ACCEPTED_CONDITIONAL	ACCEPTED_OBJECT_SCOPED_AUTHORITY	SOURCE_RECIPE_ACCEPTED	5c6db1111e6af1cecc905f83e22c88f5b8ccb398	919c2e80a629d674dd450b0a0edd11378284f1ed9d2a8fd3c9c91d7ac72f041f	GENERIC_PROVIDER_UPDATE
