field	value
source_head	d4d7eb4f452b392b9605fa9863a4ba731869d222
source_tree	8432d4a731a2dc20047982b7a71b74e5a885ba0a
source_archive_sha256	24ba9cb735e9dff3c48b8805210a955bc6c46440eb925301cb1899796da13849
issued_requests_reviewed	28
record_contracts_reviewed	84
complete_candidate_responses	0
requests_without_response	28
verified_response_records	0
requests_acknowledged	0
responses_accepted	0
build_attestations_accepted	0
final_provider_decisions_accepted	0
target_rows_populated	0
rules_sha256	82115a28868db39395983c1f4bf1d692d123067522e5c6ed73f998c70c42ccea
source_status_sha256	86da480881d059d28aa4750b3f27917feb7fd54570b2dbf40a5a9b100fefb282
source_inventory_sha256	21fa0e03bf0bbe158e846bfa3e3032e089d33729bdd7c1fbd7fc0684f8562edf
source_summary_sha256	ae3e4ef20c071ce6260b0750404c09fa4585baba3c09fe36f39d653b914439a6
receipt_review_sha256	2c6f27388b8a651459e46f2d968278ef222b2423c5c1bfb6bcb7bbfb319f0179
root_review_sha256	c121ed151118973ecd2eacea8e72bcb684b3032d632c0fe283ba14f2d499cbf8
next_state	FULFILL_BOUNDED_GENERIC_BUILD_ATTESTATION_ADAPTATION_GAP_EVIDENCE_SUPPLY_BATCH_SUP_02_CUSTODIAN_EXPORT_RESPONSES
