artifact_id	repository_metadata_id	package	version	architecture	repository_filename	artifact_size	artifact_sha256	packages_index_sha256	exclusion_reason	affected_identity_rows	affected_evidence_row_ids	comparison_scope_state	object_member_binding_state	authority_state	target_population_state
generic-artifact:55eede1a012ffdd34839	repository-metadata:01	dbus-glibc-static	1.15.6-2	aarch64	pool/stable/d/dbus-glibc-static/dbus-glibc-static_1.15.6-2_aarch64.deb	159348	55eede1a012ffdd34839f86d5044b7888d92df08211e5cb1fe9e86294dc2bdcf	565df3058a51a200fd83e851cce2d99a2faa2277142c50adc20f071d6c7b4a3a	STATIC_ONLY_PACKAGE_OUTSIDE_DYNAMIC_MEMBER_SEARCH	1	selected:5112da4dd8080fe0687f	EXCLUDED_FROM_DOWNLOAD_SET_RETAINED_AS_NEGATIVE_PACKAGE_CLASS_EVIDENCE	OPEN_NO_DEB_DOWNLOAD_OR_EXTRACTION	UNRESOLVED	BLOCKED
generic-artifact:a919a4d1bdd593203b26	repository-metadata:01	glib-glibc-static	2.82.2-2	aarch64	pool/stable/g/glib-glibc-static/glib-glibc-static_2.82.2-2_aarch64.deb	19092776	a919a4d1bdd593203b264ff8547497c35329909d91b0cb6e733bb0d02ec7a1a1	565df3058a51a200fd83e851cce2d99a2faa2277142c50adc20f071d6c7b4a3a	STATIC_ONLY_PACKAGE_OUTSIDE_DYNAMIC_MEMBER_SEARCH	4	selected:1997bce83f1eb5ffef9a;selected:6052b6396205eed6dbb6;selected:6e7f73b2a1ff4758f39a;selected:d8dfbc099c8bd2072e3f	EXCLUDED_FROM_DOWNLOAD_SET_RETAINED_AS_NEGATIVE_PACKAGE_CLASS_EVIDENCE	OPEN_NO_DEB_DOWNLOAD_OR_EXTRACTION	UNRESOLVED	BLOCKED
generic-artifact:3532845fa74e782f9e87	repository-metadata:01	libdatrie-glibc-static	0.2.13	aarch64	pool/stable/libd/libdatrie-glibc-static/libdatrie-glibc-static_0.2.13_aarch64.deb	15296	3532845fa74e782f9e8781f5c7c11467fbb697a8d19926c33e4c7ff567f0929a	565df3058a51a200fd83e851cce2d99a2faa2277142c50adc20f071d6c7b4a3a	STATIC_ONLY_PACKAGE_OUTSIDE_DYNAMIC_MEMBER_SEARCH	1	selected:5909031aa9e67d50214b	EXCLUDED_FROM_DOWNLOAD_SET_RETAINED_AS_NEGATIVE_PACKAGE_CLASS_EVIDENCE	OPEN_NO_DEB_DOWNLOAD_OR_EXTRACTION	UNRESOLVED	BLOCKED
generic-artifact:b29b9b1c3db497b81e19	repository-metadata:01	libjpeg-turbo-glibc-static	3.1.0	aarch64	pool/stable/libj/libjpeg-turbo-glibc-static/libjpeg-turbo-glibc-static_3.1.0_aarch64.deb	300040	b29b9b1c3db497b81e1951a4af88182e7f90517bd5705fe442e1cb5eede1901c	565df3058a51a200fd83e851cce2d99a2faa2277142c50adc20f071d6c7b4a3a	STATIC_ONLY_PACKAGE_OUTSIDE_DYNAMIC_MEMBER_SEARCH	1	selected:a7e42baafca8ed4717e3	EXCLUDED_FROM_DOWNLOAD_SET_RETAINED_AS_NEGATIVE_PACKAGE_CLASS_EVIDENCE	OPEN_NO_DEB_DOWNLOAD_OR_EXTRACTION	UNRESOLVED	BLOCKED
generic-artifact:046d4ee6c93115af3ee0	repository-metadata:01	libnettle-glibc-static	3.10.1	aarch64	pool/stable/libn/libnettle-glibc-static/libnettle-glibc-static_3.10.1_aarch64.deb	2545032	046d4ee6c93115af3ee0dc23bdef3c64d5528e6b9d7bf053512c3bd1e131ced0	565df3058a51a200fd83e851cce2d99a2faa2277142c50adc20f071d6c7b4a3a	STATIC_ONLY_PACKAGE_OUTSIDE_DYNAMIC_MEMBER_SEARCH	2	selected:1db5922d01fc2d9e4533;selected:6d981b8963608a8e0e6b	EXCLUDED_FROM_DOWNLOAD_SET_RETAINED_AS_NEGATIVE_PACKAGE_CLASS_EVIDENCE	OPEN_NO_DEB_DOWNLOAD_OR_EXTRACTION	UNRESOLVED	BLOCKED
generic-artifact:9f775c5031797d3db312	repository-metadata:01	libpng-glibc-static	1.6.47	aarch64	pool/stable/libp/libpng-glibc-static/libpng-glibc-static_1.6.47_aarch64.deb	102220	9f775c5031797d3db312c0e3ad38a751332e52fc6a60fada33ab1fa0d888511f	565df3058a51a200fd83e851cce2d99a2faa2277142c50adc20f071d6c7b4a3a	STATIC_ONLY_PACKAGE_OUTSIDE_DYNAMIC_MEMBER_SEARCH	1	selected:4a768de6fd1891617456	EXCLUDED_FROM_DOWNLOAD_SET_RETAINED_AS_NEGATIVE_PACKAGE_CLASS_EVIDENCE	OPEN_NO_DEB_DOWNLOAD_OR_EXTRACTION	UNRESOLVED	BLOCKED
generic-artifact:4928b6fdd79f4626fabd	repository-metadata:01	libtasn1-glibc-static	4.20.0	aarch64	pool/stable/libt/libtasn1-glibc-static/libtasn1-glibc-static_4.20.0_aarch64.deb	39740	4928b6fdd79f4626fabdf9d37709f311ce8370fb97be8db9c8ecff99fe0b7d04	565df3058a51a200fd83e851cce2d99a2faa2277142c50adc20f071d6c7b4a3a	STATIC_ONLY_PACKAGE_OUTSIDE_DYNAMIC_MEMBER_SEARCH	1	selected:9c9dbf2702e796a10c69	EXCLUDED_FROM_DOWNLOAD_SET_RETAINED_AS_NEGATIVE_PACKAGE_CLASS_EVIDENCE	OPEN_NO_DEB_DOWNLOAD_OR_EXTRACTION	UNRESOLVED	BLOCKED
generic-artifact:b899a703e875a888fe06	repository-metadata:01	libthai-glibc-static	0.1.29	aarch64	pool/stable/libt/libthai-glibc-static/libthai-glibc-static_0.1.29_aarch64.deb	15440	b899a703e875a888fe06ca018a484e092ecdb13d84925dca846a0e058817122e	565df3058a51a200fd83e851cce2d99a2faa2277142c50adc20f071d6c7b4a3a	STATIC_ONLY_PACKAGE_OUTSIDE_DYNAMIC_MEMBER_SEARCH	1	selected:fec77ea4c45ec1a2990d	EXCLUDED_FROM_DOWNLOAD_SET_RETAINED_AS_NEGATIVE_PACKAGE_CLASS_EVIDENCE	OPEN_NO_DEB_DOWNLOAD_OR_EXTRACTION	UNRESOLVED	BLOCKED
generic-artifact:b5679f66c548ea6ccd65	repository-metadata:01	libxcomposite-glibc-static	0.4.6	aarch64	pool/stable/libx/libxcomposite-glibc-static/libxcomposite-glibc-static_0.4.6_aarch64.deb	3528	b5679f66c548ea6ccd657b8cfc3c2d92fcf1a5a2827260bb89482bdb1c2a5b30	565df3058a51a200fd83e851cce2d99a2faa2277142c50adc20f071d6c7b4a3a	STATIC_ONLY_PACKAGE_OUTSIDE_DYNAMIC_MEMBER_SEARCH	1	selected:325be465ce7f532f8ff1	EXCLUDED_FROM_DOWNLOAD_SET_RETAINED_AS_NEGATIVE_PACKAGE_CLASS_EVIDENCE	OPEN_NO_DEB_DOWNLOAD_OR_EXTRACTION	UNRESOLVED	BLOCKED
generic-artifact:b44fc1143e7c45f8422a	repository-metadata:01	libxcursor-glibc-static	1.2.3	aarch64	pool/stable/libx/libxcursor-glibc-static/libxcursor-glibc-static_1.2.3_aarch64.deb	20380	b44fc1143e7c45f8422a052d66ce5dee588bd2302e119518d73bdb091c1485b6	565df3058a51a200fd83e851cce2d99a2faa2277142c50adc20f071d6c7b4a3a	STATIC_ONLY_PACKAGE_OUTSIDE_DYNAMIC_MEMBER_SEARCH	1	selected:e57423d1cb58b1b78ba4	EXCLUDED_FROM_DOWNLOAD_SET_RETAINED_AS_NEGATIVE_PACKAGE_CLASS_EVIDENCE	OPEN_NO_DEB_DOWNLOAD_OR_EXTRACTION	UNRESOLVED	BLOCKED
