field	value
source_head	ae7fbcb17a1834936caadabbbd56dfd628f70fe4
source_tree	d127b8fbe1e29efe9d9d58619d2f58f887ca1835
source_contract_rows	10
requirement_rows	16
object_rows	37
supply_batch_rows	6
supply_request_rows	16
response_payloads_reviewed	1
authoritative_reference_sets_verified	1
object_requirement_corrections_accepted	1
requirements_closed_by_correction	1
remaining_open_requirements	15
matching_soname_62_provider_candidates_bound	0
artifact_build_attestations_accepted	0
termux_android_adaptations_accepted	0
concrete_filename_drifts_accepted	0
final_provider_decisions_accepted	0
target_rows_populated	0
response_payload_sha256	91c5d65069c6447724e1c7119dc21ac8267708465f78c30588f77dda63a7067e
response_manifest_sha256	7d6aefbdbae1ac46a6620912fab54056f0a5ca9f994bf63304d1b8fbdeb1d7f1
rules_sha256	53b87679d4d07a58301e899fe18f8d656bfb8ba7ab01335bfba3b5cbd29085dd
response_review_sha256	76300e9fb0d917b4cf66f3226764034cfcab79db4121be07bcc2e916f2b726b7
object_review_sha256	cd8e4065e64d6ae34af5b75c1d76ca35c724b4b5ad4842707eb55f7513f5cd27
next_batch	SUP-02
next_state	FULFILL_BOUNDED_GENERIC_BUILD_ATTESTATION_ADAPTATION_GAP_EVIDENCE_SUPPLY_BATCH_SUP_02
