field	value
source_head	fb73cf6129ebefffed8c44532e18bf1a2bae411f
source_tree	a338f3fa370cb59713400e61e802b515f6494fd4
root_requests	28
record_contracts	84
ba_001_record_contracts	28
ba_002_record_contracts	28
ba_003_record_contracts	28
requests_issued	0
responses_received	0
build_attestations_accepted	0
final_provider_decisions_accepted	0
target_rows_populated	0
request_set_sha256	1968cf81f76835f0b9488166dca76686843f1449c6a19906c71a7c1e93dc97a5
record_contracts_sha256	fa3faf7b77802f2dfba797e7f5fe5af0d16814e0bc7a9e1300857ad57c9c8197
claim_boundary	CUSTODIAN_EXPORT_REQUEST_SET_ONLY_NO_REQUEST_ISSUANCE_BUILD_ATTESTATION_OR_AUTHORITY_EFFECT
next_state	ISSUE_BOUNDED_GENERIC_BUILD_ATTESTATION_ADAPTATION_GAP_EVIDENCE_SUPPLY_BATCH_SUP_02_CUSTODIAN_EXPORT_REQUEST_SET
