coverage_kind	source_id	sequence	implementation_symbol	enforcement_layer	synthetic_case	current_state	authority_effect
INPUT	LIA-IN-001	1	_verify_explicit_inputs	IMPLEMENTATION_CANDIDATE_SYNTHETIC_ONLY	success	MAPPED_SYNTHETIC_NOT_LIVE	ZERO_LIVE_INPUTS_ZERO_PROVIDER_READS_ZERO_WRITES_ZERO_LIVE_AUTHORITY
INPUT	LIA-IN-002	2	_verify_explicit_inputs	IMPLEMENTATION_CANDIDATE_SYNTHETIC_ONLY	success	MAPPED_SYNTHETIC_NOT_LIVE	ZERO_LIVE_INPUTS_ZERO_PROVIDER_READS_ZERO_WRITES_ZERO_LIVE_AUTHORITY
INPUT	LIA-IN-003	3	_verify_explicit_inputs	IMPLEMENTATION_CANDIDATE_SYNTHETIC_ONLY	success	MAPPED_SYNTHETIC_NOT_LIVE	ZERO_LIVE_INPUTS_ZERO_PROVIDER_READS_ZERO_WRITES_ZERO_LIVE_AUTHORITY
INPUT	LIA-IN-004	4	_verify_explicit_inputs	IMPLEMENTATION_CANDIDATE_SYNTHETIC_ONLY	success	MAPPED_SYNTHETIC_NOT_LIVE	ZERO_LIVE_INPUTS_ZERO_PROVIDER_READS_ZERO_WRITES_ZERO_LIVE_AUTHORITY
INPUT	LIA-IN-005	5	_verify_explicit_inputs	IMPLEMENTATION_CANDIDATE_SYNTHETIC_ONLY	success	MAPPED_SYNTHETIC_NOT_LIVE	ZERO_LIVE_INPUTS_ZERO_PROVIDER_READS_ZERO_WRITES_ZERO_LIVE_AUTHORITY
INPUT	LIA-IN-006	6	_verify_explicit_inputs	IMPLEMENTATION_CANDIDATE_SYNTHETIC_ONLY	success	MAPPED_SYNTHETIC_NOT_LIVE	ZERO_LIVE_INPUTS_ZERO_PROVIDER_READS_ZERO_WRITES_ZERO_LIVE_AUTHORITY
INPUT	LIA-IN-007	7	_verify_explicit_inputs	IMPLEMENTATION_CANDIDATE_SYNTHETIC_ONLY	success	MAPPED_SYNTHETIC_NOT_LIVE	ZERO_LIVE_INPUTS_ZERO_PROVIDER_READS_ZERO_WRITES_ZERO_LIVE_AUTHORITY
INPUT	LIA-IN-008	8	_verify_explicit_inputs	IMPLEMENTATION_CANDIDATE_SYNTHETIC_ONLY	success	MAPPED_SYNTHETIC_NOT_LIVE	ZERO_LIVE_INPUTS_ZERO_PROVIDER_READS_ZERO_WRITES_ZERO_LIVE_AUTHORITY
INPUT	LIA-IN-009	9	_verify_explicit_inputs	IMPLEMENTATION_CANDIDATE_SYNTHETIC_ONLY	success	MAPPED_SYNTHETIC_NOT_LIVE	ZERO_LIVE_INPUTS_ZERO_PROVIDER_READS_ZERO_WRITES_ZERO_LIVE_AUTHORITY
INPUT	LIA-IN-010	10	_verify_explicit_inputs	IMPLEMENTATION_CANDIDATE_SYNTHETIC_ONLY	success	MAPPED_SYNTHETIC_NOT_LIVE	ZERO_LIVE_INPUTS_ZERO_PROVIDER_READS_ZERO_WRITES_ZERO_LIVE_AUTHORITY
ENVELOPE_FIELD	LIA-ENV-001:schema_version	1	_verify_envelope	IMPLEMENTATION_CANDIDATE_SYNTHETIC_ONLY	success	MAPPED_SYNTHETIC_NOT_LIVE	ZERO_LIVE_INPUTS_ZERO_PROVIDER_READS_ZERO_WRITES_ZERO_LIVE_AUTHORITY
ENVELOPE_FIELD	LIA-ENV-002:adapter_contract_review_id	2	_verify_envelope	IMPLEMENTATION_CANDIDATE_SYNTHETIC_ONLY	success	MAPPED_SYNTHETIC_NOT_LIVE	ZERO_LIVE_INPUTS_ZERO_PROVIDER_READS_ZERO_WRITES_ZERO_LIVE_AUTHORITY
ENVELOPE_FIELD	LIA-ENV-003:adapter_envelope_id	3	_verify_envelope	IMPLEMENTATION_CANDIDATE_SYNTHETIC_ONLY	success	MAPPED_SYNTHETIC_NOT_LIVE	ZERO_LIVE_INPUTS_ZERO_PROVIDER_READS_ZERO_WRITES_ZERO_LIVE_AUTHORITY
ENVELOPE_FIELD	LIA-ENV-004:transaction_id	4	_verify_envelope	IMPLEMENTATION_CANDIDATE_SYNTHETIC_ONLY	success	MAPPED_SYNTHETIC_NOT_LIVE	ZERO_LIVE_INPUTS_ZERO_PROVIDER_READS_ZERO_WRITES_ZERO_LIVE_AUTHORITY
ENVELOPE_FIELD	LIA-ENV-005:created_at_utc	5	_verify_envelope	IMPLEMENTATION_CANDIDATE_SYNTHETIC_ONLY	success	MAPPED_SYNTHETIC_NOT_LIVE	ZERO_LIVE_INPUTS_ZERO_PROVIDER_READS_ZERO_WRITES_ZERO_LIVE_AUTHORITY
ENVELOPE_FIELD	LIA-ENV-006:owner_decision_sha256	6	_verify_envelope	IMPLEMENTATION_CANDIDATE_SYNTHETIC_ONLY	success	MAPPED_SYNTHETIC_NOT_LIVE	ZERO_LIVE_INPUTS_ZERO_PROVIDER_READS_ZERO_WRITES_ZERO_LIVE_AUTHORITY
ENVELOPE_FIELD	LIA-ENV-007:owner_authorization_token_sha256	7	_verify_envelope	IMPLEMENTATION_CANDIDATE_SYNTHETIC_ONLY	success	MAPPED_SYNTHETIC_NOT_LIVE	ZERO_LIVE_INPUTS_ZERO_PROVIDER_READS_ZERO_WRITES_ZERO_LIVE_AUTHORITY
ENVELOPE_FIELD	LIA-ENV-008:coordinate_receipt_sha256	8	_verify_envelope	IMPLEMENTATION_CANDIDATE_SYNTHETIC_ONLY	success	MAPPED_SYNTHETIC_NOT_LIVE	ZERO_LIVE_INPUTS_ZERO_PROVIDER_READS_ZERO_WRITES_ZERO_LIVE_AUTHORITY
ENVELOPE_FIELD	LIA-ENV-009:revocation_snapshot_sha256	9	_verify_envelope	IMPLEMENTATION_CANDIDATE_SYNTHETIC_ONLY	success	MAPPED_SYNTHETIC_NOT_LIVE	ZERO_LIVE_INPUTS_ZERO_PROVIDER_READS_ZERO_WRITES_ZERO_LIVE_AUTHORITY
ENVELOPE_FIELD	LIA-ENV-010:repository_head	10	_verify_envelope	IMPLEMENTATION_CANDIDATE_SYNTHETIC_ONLY	success	MAPPED_SYNTHETIC_NOT_LIVE	ZERO_LIVE_INPUTS_ZERO_PROVIDER_READS_ZERO_WRITES_ZERO_LIVE_AUTHORITY
