prerequisite_id	category	evidence_state	review_result	evidence_reference	remaining_runtime_preflight	authority_effect	prohibited_inference
INTLIFT-001	TARGET_POLICY	SATISFIED	SATISFIED_FOR_READ_ONLY_MATERIALIZER_DESIGN_REVIEW	selected-target-manifest-boundary-acceptance.tsv	REVERIFY_82_ROWS_AND_ZERO_COLLISIONS	CONDITIONALLY_LIFTS_INTERVENTION_FOR_READ_ONLY_MATERIALIZER_DESIGN_REVIEW_ONLY	DOES_NOT_AUTHORIZE_BYTE_ACQUISITION_EXTRACTION_ROOT_CREATION_TARGET_WRITE_POPULATION_MATERIALIZATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
INTLIFT-002	ALIAS_RESOLUTION	SATISFIED	SATISFIED_FOR_READ_ONLY_MATERIALIZER_DESIGN_REVIEW	selected-target-manifest-alias-bindings.tsv	REVERIFY_41_RELATIVE_ALIAS_TARGETS	CONDITIONALLY_LIFTS_INTERVENTION_FOR_READ_ONLY_MATERIALIZER_DESIGN_REVIEW_ONLY	DOES_NOT_AUTHORIZE_BYTE_ACQUISITION_EXTRACTION_ROOT_CREATION_TARGET_WRITE_POPULATION_MATERIALIZATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
INTLIFT-003	ATOMIC_FAMILIES	SATISFIED	SATISFIED_FOR_READ_ONLY_MATERIALIZER_DESIGN_REVIEW	selected-provider-composition-members.tsv	REVERIFY_ATSPI2_CAIRO_PANGO_GDK_GTK_FAMILY_COMPLETENESS	CONDITIONALLY_LIFTS_INTERVENTION_FOR_READ_ONLY_MATERIALIZER_DESIGN_REVIEW_ONLY	DOES_NOT_AUTHORIZE_BYTE_ACQUISITION_EXTRACTION_ROOT_CREATION_TARGET_WRITE_POPULATION_MATERIALIZATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
INTLIFT-004	SUPPLY_BINDINGS_AND_SIZES	SATISFIED	SATISFIED_FOR_READ_ONLY_MATERIALIZER_DESIGN_REVIEW	selected-target-indexed-replacement-review.tsv;selected-target-member-size-census.tsv;selected-target-pixman-size-evidence.tsv	REVERIFY_41_COORDINATE_INDEX_SHA_SIZE_BINDINGS_BEFORE_ANY_BYTE_READ	CONDITIONALLY_LIFTS_INTERVENTION_FOR_READ_ONLY_MATERIALIZER_DESIGN_REVIEW_ONLY	DOES_NOT_AUTHORIZE_BYTE_ACQUISITION_EXTRACTION_ROOT_CREATION_TARGET_WRITE_POPULATION_MATERIALIZATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
INTLIFT-005	GENERATION_ROOT_CONTRACT	SATISFIED_CONTRACT_ONLY	SATISFIED_FOR_READ_ONLY_MATERIALIZER_DESIGN_REVIEW	GEN-001;GEN-002	RUNTIME_VERIFY_ABSOLUTE_NON_SYMLINK_OWNER_MODE_AND_SAME_DEVICE_NO_ROOT_CREATION_NOW	CONDITIONALLY_LIFTS_INTERVENTION_FOR_READ_ONLY_MATERIALIZER_DESIGN_REVIEW_ONLY	DOES_NOT_AUTHORIZE_BYTE_ACQUISITION_EXTRACTION_ROOT_CREATION_TARGET_WRITE_POPULATION_MATERIALIZATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
INTLIFT-006	ATOMIC_PUBLICATION_CONTRACT	SATISFIED_CONTRACT_ONLY	SATISFIED_FOR_READ_ONLY_MATERIALIZER_DESIGN_REVIEW	GEN-003	RUNTIME_VERIFY_FSYNCS_AND_RENAMES_NO_PUBLICATION_NOW	CONDITIONALLY_LIFTS_INTERVENTION_FOR_READ_ONLY_MATERIALIZER_DESIGN_REVIEW_ONLY	DOES_NOT_AUTHORIZE_BYTE_ACQUISITION_EXTRACTION_ROOT_CREATION_TARGET_WRITE_POPULATION_MATERIALIZATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
INTLIFT-007	RESOURCE_BUDGET	SATISFIED_POLICY_RESERVATION	SATISFIED_FOR_READ_ONLY_MATERIALIZER_DESIGN_REVIEW	selected-target-resource-budget-metadata.tsv	RUNTIME_VERIFY_STATVFS_FREE_BYTES_AT_LEAST_FINAL_BUDGET	CONDITIONALLY_LIFTS_INTERVENTION_FOR_READ_ONLY_MATERIALIZER_DESIGN_REVIEW_ONLY	DOES_NOT_AUTHORIZE_BYTE_ACQUISITION_EXTRACTION_ROOT_CREATION_TARGET_WRITE_POPULATION_MATERIALIZATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
INTLIFT-008	VERIFICATION_RECEIPT	SATISFIED_SCHEMA_AND_CAP	SATISFIED_FOR_READ_ONLY_MATERIALIZER_DESIGN_REVIEW	selected-target-verification-receipt-prototype.json;GEN-005	ABORT_BEFORE_PUBLICATION_IF_CANONICAL_RECEIPT_EXCEEDS_RESERVATION	CONDITIONALLY_LIFTS_INTERVENTION_FOR_READ_ONLY_MATERIALIZER_DESIGN_REVIEW_ONLY	DOES_NOT_AUTHORIZE_BYTE_ACQUISITION_EXTRACTION_ROOT_CREATION_TARGET_WRITE_POPULATION_MATERIALIZATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
INTLIFT-009	ROLLBACK_SELECTOR	SATISFIED_CONTRACT_ONLY	SATISFIED_FOR_READ_ONLY_MATERIALIZER_DESIGN_REVIEW	GEN-006	RUNTIME_VERIFY_COMPLETE_PRIOR_GENERATION_NO_SELECTOR_CHANGE_NOW	CONDITIONALLY_LIFTS_INTERVENTION_FOR_READ_ONLY_MATERIALIZER_DESIGN_REVIEW_ONLY	DOES_NOT_AUTHORIZE_BYTE_ACQUISITION_EXTRACTION_ROOT_CREATION_TARGET_WRITE_POPULATION_MATERIALIZATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
INTLIFT-010	FAILURE_CLEANUP_OBSERVABILITY	SATISFIED_CONTRACT_ONLY	SATISFIED_FOR_READ_ONLY_MATERIALIZER_DESIGN_REVIEW	GEN-007	RUNTIME_VERIFY_TRANSACTION_SCOPING_AND_FAILURE_RECEIPT_NO_CLEANUP_NOW	CONDITIONALLY_LIFTS_INTERVENTION_FOR_READ_ONLY_MATERIALIZER_DESIGN_REVIEW_ONLY	DOES_NOT_AUTHORIZE_BYTE_ACQUISITION_EXTRACTION_ROOT_CREATION_TARGET_WRITE_POPULATION_MATERIALIZATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
