root_review_id	review_tier	recipe_root	recipe_tree	recipe_resolved_full_version	recipe_file_count	build_script_signal_count	artifact_count	identity_count	recipe_inventory_review_state	build_provenance_review_state	adaptation_semantic_review_state	adaptation_necessity_review_state	continuity_policy_review_state	object_correction_review_state	authority_state
generic-root-review:0263d4b55d6a43edad7b	T1_MATERIAL_DELTA_AND_DRIFT	gpkg/libcairo	b80a0990d43609e09f1480394225d2b068ce5881	1.18.2	3	1	1	2	PINNED_RECIPE_FILE_AND_SIGNAL_INVENTORY_CONFIRMED	OPEN_EXTERNAL_DIGEST_BOUND_BUILD_RECORD_REQUIRED	RECIPE_DELTA_SEMANTIC_REVIEW_OPEN	OPEN_CLASSIFICATION_REQUIRED	OPEN_UPDATE_ROLLBACK_POLICY_REQUIRED	NOT_APPLICABLE	OPEN_NO_ACCEPTANCE
generic-root-review:0dacddae106c6bd1006b	T5_NO_TOKEN_AND_DRIFT	gpkg/pango	f9e9e2303e2c91322f7edcf1bc0c3b99f2d1d74a	1.54.0	1	0	1	3	PINNED_RECIPE_FILE_AND_SIGNAL_INVENTORY_CONFIRMED	OPEN_EXTERNAL_DIGEST_BOUND_BUILD_RECORD_REQUIRED	FULL_NO_TOKEN_SEMANTIC_REVIEW_OPEN	OPEN_CLASSIFICATION_REQUIRED	OPEN_UPDATE_ROLLBACK_POLICY_REQUIRED	NOT_APPLICABLE	OPEN_NO_ACCEPTANCE
generic-root-review:146b55949f1c16bde2a2	T1_MATERIAL_DELTA_AND_DRIFT	gpkg/libpng	c28b21ff2f072e880bce82fe81e4022b88945c22	1.6.47	1	3	1	1	PINNED_RECIPE_FILE_AND_SIGNAL_INVENTORY_CONFIRMED	OPEN_EXTERNAL_DIGEST_BOUND_BUILD_RECORD_REQUIRED	RECIPE_DELTA_SEMANTIC_REVIEW_OPEN	OPEN_CLASSIFICATION_REQUIRED	OPEN_UPDATE_ROLLBACK_POLICY_REQUIRED	NOT_APPLICABLE	OPEN_NO_ACCEPTANCE
generic-root-review:26c46ad7612eb40ca721	T1_MATERIAL_DELTA_AND_DRIFT	gpkg/fontconfig	c5c62dc15d6a897251c88cb7c2306b2a12dd16ba	2.15.0-1	3	5	1	1	PINNED_RECIPE_FILE_AND_SIGNAL_INVENTORY_CONFIRMED	OPEN_EXTERNAL_DIGEST_BOUND_BUILD_RECORD_REQUIRED	RECIPE_DELTA_SEMANTIC_REVIEW_OPEN	OPEN_CLASSIFICATION_REQUIRED	OPEN_UPDATE_ROLLBACK_POLICY_REQUIRED	NOT_APPLICABLE	OPEN_NO_ACCEPTANCE
generic-root-review:2f6c3972ae083cff8dd2	T6_NO_TOKEN_EXACT	gpkg/libepoxy	bb827daab0491d4ff49c822f96dd4bbb80102ef0	1.5.10	1	0	1	1	PINNED_RECIPE_FILE_AND_SIGNAL_INVENTORY_CONFIRMED	OPEN_EXTERNAL_DIGEST_BOUND_BUILD_RECORD_REQUIRED	FULL_NO_TOKEN_SEMANTIC_REVIEW_OPEN	OPEN_CLASSIFICATION_REQUIRED	OPEN_UPDATE_ROLLBACK_POLICY_REQUIRED	NOT_APPLICABLE	OPEN_NO_ACCEPTANCE
generic-root-review:3d9be682f93850cf8f44	T2_MATERIAL_DELTA_EXACT	gpkg/mesa	722eafd0258762f44c50228b3b66cc7a29cfcb3e	24.2.6	17	5	2	3	PINNED_RECIPE_FILE_AND_SIGNAL_INVENTORY_CONFIRMED	OPEN_EXTERNAL_DIGEST_BOUND_BUILD_RECORD_REQUIRED	RECIPE_DELTA_SEMANTIC_REVIEW_OPEN	OPEN_CLASSIFICATION_REQUIRED	OPEN_UPDATE_ROLLBACK_POLICY_REQUIRED	NOT_APPLICABLE	OPEN_NO_ACCEPTANCE
generic-root-review:4a78f00ce210555e73bc	T4_CONFIGURATION_OR_PACKAGING_EXACT	gpkg/p11-kit	ad0661176a924458c36e3d6243aa83a52fe0fd55	0.25.5	1	2	1	1	PINNED_RECIPE_FILE_AND_SIGNAL_INVENTORY_CONFIRMED	OPEN_EXTERNAL_DIGEST_BOUND_BUILD_RECORD_REQUIRED	RECIPE_DELTA_SEMANTIC_REVIEW_OPEN	OPEN_CLASSIFICATION_REQUIRED	OPEN_UPDATE_ROLLBACK_POLICY_REQUIRED	NOT_APPLICABLE	OPEN_NO_ACCEPTANCE
generic-root-review:4cbb42bdf636a480b0f6	T1_MATERIAL_DELTA_AND_DRIFT	gpkg/dbus	d7c789ccea51cdb6d13196fd106f32daf6c75822	1.15.6-2	2	10	1	1	PINNED_RECIPE_FILE_AND_SIGNAL_INVENTORY_CONFIRMED	OPEN_EXTERNAL_DIGEST_BOUND_BUILD_RECORD_REQUIRED	RECIPE_DELTA_SEMANTIC_REVIEW_OPEN	OPEN_CLASSIFICATION_REQUIRED	OPEN_UPDATE_ROLLBACK_POLICY_REQUIRED	NOT_APPLICABLE	OPEN_NO_ACCEPTANCE
generic-root-review:54ab99c9280e70c43600	T2_MATERIAL_DELTA_EXACT	gpkg/libxcursor	bb2495e04b246f60203d48720225ef13fa8a25bf	1.2.3	2	0	1	1	PINNED_RECIPE_FILE_AND_SIGNAL_INVENTORY_CONFIRMED	OPEN_EXTERNAL_DIGEST_BOUND_BUILD_RECORD_REQUIRED	RECIPE_DELTA_SEMANTIC_REVIEW_OPEN	OPEN_CLASSIFICATION_REQUIRED	OPEN_UPDATE_ROLLBACK_POLICY_REQUIRED	NOT_APPLICABLE	OPEN_NO_ACCEPTANCE
generic-root-review:59aa2f063b98cf767441	T0_OBJECT_REQUIREMENT_CORRECTION	gpkg/libjpeg-turbo	cb58a7c1d7f4a1f89d036e4c80da596c0c61234c	3.1.0	2	1	1	1	PINNED_RECIPE_FILE_AND_SIGNAL_INVENTORY_CONFIRMED	OPEN_EXTERNAL_DIGEST_BOUND_BUILD_RECORD_REQUIRED	RECIPE_DELTA_SEMANTIC_REVIEW_OPEN	OPEN_CLASSIFICATION_REQUIRED	OPEN_UPDATE_ROLLBACK_POLICY_REQUIRED	OBJECT_REQUIREMENT_CORRECTION_OPEN	OPEN_NO_ACCEPTANCE
