requirement_id	expected_collection_state	review_disposition	evidence_class	remaining_gap_class	expected_evidence_references	receipt_review_state	authority_state	next_action
BA-001	EXTERNAL_BUILD_PROVENANCE_REQUIRED	GAP	EXTERNAL_PROVENANCE	DIGEST_BOUND_BUILD_INVOCATION	NONE	EXTERNAL_SEMANTIC_POLICY_OR_CORRECTION_GAP_CONFIRMED	OPEN_NO_ACCEPTANCE	PROVIDE_BOUNDED_DIGEST_BOUND_BUILD_PROVENANCE
BA-002	EXTERNAL_BUILD_ENVIRONMENT_RECORD_REQUIRED	GAP	EXTERNAL_PROVENANCE	IMMUTABLE_BUILD_ENVIRONMENT	NONE	EXTERNAL_SEMANTIC_POLICY_OR_CORRECTION_GAP_CONFIRMED	OPEN_NO_ACCEPTANCE	PROVIDE_BOUNDED_BUILD_ENVIRONMENT_RECORD
BA-003	LOCAL_OUTPUT_BINDING_EVIDENCE_COLLECTED_BUILD_LINK_OPEN	LOCAL_EVIDENCE	LOCAL_OUTPUT_BINDING	PRODUCING_BUILD_LINK	artifact-member-output-evidence.tsv	LOCAL_EVIDENCE_CONFIRMED_BOUNDED_REVIEW_INPUT	OPEN_NO_ACCEPTANCE	BIND_OUTPUT_MANIFEST_TO_PRODUCING_BUILD_RECORD
BA-004	EXTERNAL_INDEPENDENT_VERIFICATION_REQUIRED	GAP	EXTERNAL_PROVENANCE	INDEPENDENT_REPRODUCTION_OR_SIGNED_PROVENANCE	NONE	EXTERNAL_SEMANTIC_POLICY_OR_CORRECTION_GAP_CONFIRMED	OPEN_NO_ACCEPTANCE	PROVIDE_INDEPENDENT_VERIFICATION_PATH
BA-005	ATTESTATION_CONTINUITY_POLICY_REQUIRED	GAP	CONTINUITY_POLICY	SUCCESSOR_AND_ROLLBACK_ATTESTATION_CONTINUITY	NONE	EXTERNAL_SEMANTIC_POLICY_OR_CORRECTION_GAP_CONFIRMED	OPEN_NO_ACCEPTANCE	DEFINE_ATTESTATION_CONTINUITY_POLICY
AD-001	LOCAL_COMPLETE_RECIPE_FILE_AND_SIGNAL_INVENTORY_COLLECTED_REVIEW_REQUIRED	LOCAL_EVIDENCE	LOCAL_RECIPE_INVENTORY	SEMANTIC_DELTA_REVIEW	recipe-file-evidence.tsv;recipe-build-script-signal-evidence.tsv	LOCAL_EVIDENCE_CONFIRMED_BOUNDED_REVIEW_INPUT	OPEN_NO_ACCEPTANCE	PERFORM_BOUNDED_RECIPE_DELTA_SEMANTIC_REVIEW
AD-002	LOCAL_UPSTREAM_DECLARATIONS_COLLECTED_SEMANTIC_COMPARISON_REQUIRED	LOCAL_EVIDENCE	LOCAL_UPSTREAM_DECLARATIONS	UPSTREAM_SEMANTIC_COMPARISON	root-evidence-observations.tsv	LOCAL_EVIDENCE_CONFIRMED_BOUNDED_REVIEW_INPUT	OPEN_NO_ACCEPTANCE	PERFORM_BOUNDED_UPSTREAM_SEMANTIC_COMPARISON
AD-003	ADAPTATION_NECESSITY_CLASSIFICATION_REQUIRED	GAP	SEMANTIC_CLASSIFICATION	ANDROID_TERMUX_NECESSITY_CLASSIFICATION	recipe-build-script-signal-evidence.tsv	EXTERNAL_SEMANTIC_POLICY_OR_CORRECTION_GAP_CONFIRMED	OPEN_NO_ACCEPTANCE	CLASSIFY_EACH_DELTA_WITH_OBJECT_BOUND_EVIDENCE
AD-004	LOCAL_ROOT_OBJECT_CROSSWALK_COLLECTED_IMPACT_REVIEW_REQUIRED	LOCAL_EVIDENCE	LOCAL_ROOT_OBJECT_CROSSWALK	SEMANTIC_OBJECT_IMPACT_REVIEW	root-object-impact-crosswalk.tsv	LOCAL_EVIDENCE_CONFIRMED_BOUNDED_REVIEW_INPUT	OPEN_NO_ACCEPTANCE	PERFORM_OBJECT_LEVEL_ADAPTATION_IMPACT_REVIEW
AD-005	ADAPTATION_UPDATE_ROLLBACK_POLICY_REQUIRED	GAP	CONTINUITY_POLICY	ADAPTATION_UPDATE_AND_ROLLBACK_POLICY	NONE	EXTERNAL_SEMANTIC_POLICY_OR_CORRECTION_GAP_CONFIRMED	OPEN_NO_ACCEPTANCE	DEFINE_ADAPTATION_CONTINUITY_POLICY
AD-006	LOCAL_FULL_RECIPE_MANIFEST_COLLECTED_NO_TOKEN_SEMANTIC_REVIEW_REQUIRED	LOCAL_EVIDENCE	LOCAL_FULL_RECIPE_MANIFEST	NO_TOKEN_FULL_SEMANTIC_REVIEW	recipe-file-evidence.tsv	LOCAL_EVIDENCE_CONFIRMED_BOUNDED_REVIEW_INPUT	OPEN_NO_ACCEPTANCE	PERFORM_FULL_NO_TOKEN_RECIPE_SEMANTIC_REVIEW
CF-001	CONSUMER_BINDING_EVIDENCE_REQUIRED	GAP	CONSUMER_BINDING	SONAME_OR_STABLE_ALIAS_CONSUMER_BINDING	NONE	EXTERNAL_SEMANTIC_POLICY_OR_CORRECTION_GAP_CONFIRMED	OPEN_NO_ACCEPTANCE	PROVIDE_BOUNDED_CONSUMER_BINDING_EVIDENCE
CF-002	LOCAL_EXACT_ALIAS_TARGET_EVIDENCE_COLLECTED_REVIEW_REQUIRED	LOCAL_EVIDENCE	LOCAL_ALIAS_TARGET_CHAIN	CONSUMER_BINDING_AND_DRIFT_POLICY	artifact-member-output-evidence.tsv	LOCAL_EVIDENCE_CONFIRMED_BOUNDED_REVIEW_INPUT	OPEN_NO_ACCEPTANCE	REVIEW_ALIAS_TARGET_CHAIN_WITH_CONSUMER_AND_POLICY_EVIDENCE
CF-003	SUCCESSOR_FILENAME_DRIFT_POLICY_REQUIRED	GAP	CONTINUITY_POLICY	SUCCESSOR_FILENAME_DRIFT_POLICY	NONE	EXTERNAL_SEMANTIC_POLICY_OR_CORRECTION_GAP_CONFIRMED	OPEN_NO_ACCEPTANCE	DEFINE_SUCCESSOR_FILENAME_DRIFT_POLICY
CF-004	ROLLBACK_FILENAME_DRIFT_POLICY_REQUIRED	GAP	CONTINUITY_POLICY	ROLLBACK_FILENAME_DRIFT_POLICY	NONE	EXTERNAL_SEMANTIC_POLICY_OR_CORRECTION_GAP_CONFIRMED	OPEN_NO_ACCEPTANCE	DEFINE_ROLLBACK_FILENAME_DRIFT_POLICY
OJ-001	OBJECT_REQUIREMENT_CORRECTION_REQUIRED	GAP	OBJECT_CORRECTION	LIBJPEG_EXPECTED_SONAME_REQUIREMENT	artifact-member-output-evidence.tsv	EXTERNAL_SEMANTIC_POLICY_OR_CORRECTION_GAP_CONFIRMED	OPEN_NO_ACCEPTANCE	CORRECT_REQUIREMENT_OR_LOCATE_EXACT_LIBJPEG_SONAME_CANDIDATE
