package	version	priority_tier	semantic_authority	authority_review_state	profile_disposition	accepted_runtime_scope	explicitly_excluded_scope	source_authority	recipe_lineage_state	candidate_recipe_trees	supply_authority	artifact_sha256	artifact_bytes	installed_artifact_equivalence	update_domain	remaining_open_evidence
glibc-runner	2.0-3	T0_BOOTSTRAP_CONTEXT	TOOLCHAIN_ONLY	ACCEPTED_RESEARCH_ONLY_REJECT_RUNTIME	RESEARCH_BUILD_MAINTENANCE	-	minimum workstation runtime and promoted launch path	TERMUX_GLIBC_RUNNER_RECIPE	RECIPE_VERSION_UNIQUE_TREE_MATCH	d03c9dbbae5cde705ed8b3cef45cd16b1b17977f	EXACT_INDEXED_DEB	0ce36481955702c0f57cb8293bfa2dd8a043e91ae2d6f325c2b53cb6b9268544	3784	ALL_ARCHIVE_MEMBERS_MATCH_LIVE	RESEARCH_TOOL_UPDATE	No additional evidence required for exclusion; retain only as optional research tooling.
glibc	2.42	T0_WORLD_PLATFORM	WORLD_CORE_SUBSTRATE	ACCEPTED_WORLD_AUTHORITY	WORLD_BASE	package-managed glibc world layer; selected loader/libc/libdl/libm/libpthread/libresolv; C.UTF-8 and en_US.UTF-8 locale data; glibc internal runtime modules	headers, start files, static archives, development metadata, diagnostics and administration commands are research/build/maintenance profile	TERMUX_ANDROID_ADAPTED_GLIBC_RECIPE	RECIPE_VERSION_UNIQUE_TREE_MATCH	cb065e824000e7aa2ecf99c4a146c181287a3226	EXACT_INDEXED_DEB	59e47a50b77ba9c0c1cc7cd0dafbb1558528cb544a740858faad0263e8b9b27f	9599004	ALL_ARCHIVE_MEMBERS_MATCH_LIVE	WORLD_SUBSTRATE_UPDATE	Define clean reconstruction and world rollback outside generation; revalidate 2.42->2.43 separately.
libx11-glibc	1.8.11	T0_WORLD_PLATFORM	PLATFORM_INTEGRATION_PROVIDER	ACCEPTED_OBJECT_SCOPED_PLATFORM_PROVIDER	BASE_X11;GRAPHICS_FREEDRENO_CONDITIONAL	libX11.so.6 for base X11; libX11-xcb.so.1 for graphics-provider integration	headers, pkg-config metadata, documentation and unselected extension libraries from the minimum runtime	TERMUX_GLIBC_X11_RECIPE	RECIPE_VERSION_UNIQUE_TREE_MATCH	e7ec2c34d030119954edfe3e9d28e68b4da27b0f	EXACT_INDEXED_DEB_OBJECT_SUBSET	a0c249dd82f5bcf46d61501a436fcfc2e317869a06913c4b8488c9d3d19dca1a	1984312	ALL_ARCHIVE_MEMBERS_MATCH_LIVE	X11_PLATFORM_PROVIDER_UPDATE	Revalidate selected SONAME set when the X11, GTK or graphics provider changes.
libxau-glibc	1.0.12	T0_WORLD_PLATFORM	PLATFORM_INTEGRATION_PROVIDER	ACCEPTED_OBJECT_SCOPED_PLATFORM_PROVIDER	BASE_X11	libXau.so.6	headers, pkg-config metadata, documentation and unselected extension libraries from the minimum runtime	TERMUX_GLIBC_X11_RECIPE	RECIPE_VERSION_UNIQUE_TREE_MATCH	d6c020d125b60cecb673fc102ed7dbc041ad9fd3	EXACT_INDEXED_DEB_OBJECT_SUBSET	7f2c0624638feed515899e3acbb1ec475ba97c9442b5a276dabaea652d9db62c	10528	ALL_ARCHIVE_MEMBERS_MATCH_LIVE	X11_PLATFORM_PROVIDER_UPDATE	Revalidate selected SONAME set when the X11, GTK or graphics provider changes.
libxcb-glibc	1.17.0-1	T0_WORLD_PLATFORM	PLATFORM_INTEGRATION_PROVIDER	ACCEPTED_OBJECT_SCOPED_PLATFORM_PROVIDER	BASE_X11;GRAPHICS_FREEDRENO_CONDITIONAL	libxcb.so.1 plus selected render/shm and graphics extension SONAMEs only	headers, pkg-config metadata, documentation and unselected extension libraries from the minimum runtime	TERMUX_GLIBC_X11_RECIPE	RECIPE_VERSION_UNIQUE_TREE_MATCH	4cd7d799304e6ea67ef5de174e77991022015129	EXACT_INDEXED_DEB_OBJECT_SUBSET	5e737e2bb57a0a1919be298b5f60c8a6b8f9cc79225f1b90c566bcdba73133a0	952208	ALL_ARCHIVE_MEMBERS_MATCH_LIVE	X11_PLATFORM_PROVIDER_UPDATE	Revalidate selected SONAME set when the X11, GTK or graphics provider changes.
libxdmcp-glibc	1.1.5	T0_WORLD_PLATFORM	PLATFORM_INTEGRATION_PROVIDER	ACCEPTED_OBJECT_SCOPED_PLATFORM_PROVIDER	BASE_X11	libXdmcp.so.6	headers, pkg-config metadata, documentation and unselected extension libraries from the minimum runtime	TERMUX_GLIBC_X11_RECIPE	RECIPE_VERSION_UNIQUE_TREE_MATCH	77b9e105680453fb061b8bc09ac7d05cdc87a0ba	EXACT_INDEXED_DEB_OBJECT_SUBSET	b07513746d141bb11ff2c5cd496c0131da3ddbdb24bf92d51635d6b3c93ad1fb	25556	ALL_ARCHIVE_MEMBERS_MATCH_LIVE	X11_PLATFORM_PROVIDER_UPDATE	Revalidate selected SONAME set when the X11, GTK or graphics provider changes.
libxext-glibc	1.3.6	T0_WORLD_PLATFORM	PLATFORM_INTEGRATION_PROVIDER	ACCEPTED_OBJECT_SCOPED_PLATFORM_PROVIDER	BASE_X11	libXext.so.6	headers, pkg-config metadata, documentation and unselected extension libraries from the minimum runtime	TERMUX_GLIBC_X11_RECIPE	RECIPE_VERSION_UNIQUE_TREE_MATCH	41641853a3c83b450ee37070ff580997029378f5	EXACT_INDEXED_DEB_OBJECT_SUBSET	09a989f92535f27343bf9d8904bf43e7a8a7827f5ef910eed45d112ad5bf0590	101604	ALL_ARCHIVE_MEMBERS_MATCH_LIVE	X11_PLATFORM_PROVIDER_UPDATE	Revalidate selected SONAME set when the X11, GTK or graphics provider changes.
libxrandr-glibc	1.5.4	T0_WORLD_PLATFORM	PLATFORM_INTEGRATION_PROVIDER	ACCEPTED_OBJECT_SCOPED_PLATFORM_PROVIDER	BASE_X11	libXrandr.so.2	headers, pkg-config metadata, documentation and unselected extension libraries from the minimum runtime	TERMUX_GLIBC_X11_RECIPE	RECIPE_VERSION_UNIQUE_TREE_MATCH	cafe7be276b3530873afc4fdabbc3eac076cdfeb	EXACT_INDEXED_DEB_OBJECT_SUBSET	2e403fc0d8f319933866f63478148f436757c801c5162362d3aa6732d7a567b8	25140	ALL_ARCHIVE_MEMBERS_MATCH_LIVE	X11_PLATFORM_PROVIDER_UPDATE	Revalidate selected SONAME set when the X11, GTK or graphics provider changes.
libxrender-glibc	0.9.12	T0_WORLD_PLATFORM	PLATFORM_INTEGRATION_PROVIDER	ACCEPTED_OBJECT_SCOPED_PLATFORM_PROVIDER	BASE_X11	libXrender.so.1	headers, pkg-config metadata, documentation and unselected extension libraries from the minimum runtime	TERMUX_GLIBC_X11_RECIPE	RECIPE_VERSION_UNIQUE_TREE_MATCH	da40bf3242b2b13acdf7eb121fdfd73180fff1f8	EXACT_INDEXED_DEB_OBJECT_SUBSET	86b181007e83f8055f77b964aa77dce2fd48949c04b5d5f1f7be9f8c83cfab52	26984	ALL_ARCHIVE_MEMBERS_MATCH_LIVE	X11_PLATFORM_PROVIDER_UPDATE	Revalidate selected SONAME set when the X11, GTK or graphics provider changes.
libxshmfence-glibc	1.3.3	T0_WORLD_PLATFORM	PLATFORM_INTEGRATION_PROVIDER	ACCEPTED_OBJECT_SCOPED_PLATFORM_PROVIDER	GRAPHICS_FREEDRENO_CONDITIONAL	libxshmfence.so.1 for the graphics feature profile	headers, pkg-config metadata, documentation and unselected extension libraries from the minimum runtime	TERMUX_GLIBC_X11_RECIPE	RECIPE_VERSION_UNIQUE_TREE_MATCH	aa0134357901f24dbfe1991b2c705c1b719e0908	EXACT_INDEXED_DEB_OBJECT_SUBSET	dca9418b1c3bd24b7bb47261eda17a40646c7f4fb903b10c77a9e6c08d38c1c7	5904	ALL_ARCHIVE_MEMBERS_MATCH_LIVE	X11_PLATFORM_PROVIDER_UPDATE	Revalidate selected SONAME set when the X11, GTK or graphics provider changes.
