root_review_id	recipe_root	recipe_tree	closure_lane_ids	requirement_ids	candidate_evidence_count	explicit_gap_requirement_ids	local_foundation_requirement_ids	receipt_review_state	closure_state	authority_state
generic-root-review:0263d4b55d6a43edad7b	gpkg/libcairo	b80a0990d43609e09f1480394225d2b068ce5881	GC-02;GC-03;GC-04;GC-05;GC-06	AD-001;AD-002;AD-003;AD-004;AD-005;BA-001;BA-002;BA-003;BA-004;BA-005;CF-001;CF-002;CF-003;CF-004	0	AD-003;AD-005;BA-001;BA-002;BA-004;BA-005;CF-001;CF-003;CF-004	AD-001;AD-002;AD-004;BA-003;CF-002	BOUNDED_GAP_CLOSURE_INPUTS_REVIEWED_INCOMPLETE	OPEN_EVIDENCE_REQUIRED	OPEN_NO_ACCEPTANCE
generic-root-review:0dacddae106c6bd1006b	gpkg/pango	f9e9e2303e2c91322f7edcf1bc0c3b99f2d1d74a	GC-02;GC-03;GC-04;GC-05;GC-06	AD-002;AD-003;AD-004;AD-006;BA-001;BA-002;BA-003;BA-004;BA-005;CF-001;CF-002;CF-003;CF-004	0	AD-003;BA-001;BA-002;BA-004;BA-005;CF-001;CF-003;CF-004	AD-002;AD-004;AD-006;BA-003;CF-002	BOUNDED_GAP_CLOSURE_INPUTS_REVIEWED_INCOMPLETE	OPEN_EVIDENCE_REQUIRED	OPEN_NO_ACCEPTANCE
generic-root-review:146b55949f1c16bde2a2	gpkg/libpng	c28b21ff2f072e880bce82fe81e4022b88945c22	GC-02;GC-03;GC-04;GC-05;GC-06	AD-001;AD-002;AD-003;AD-004;AD-005;BA-001;BA-002;BA-003;BA-004;BA-005;CF-001;CF-002;CF-003;CF-004	0	AD-003;AD-005;BA-001;BA-002;BA-004;BA-005;CF-001;CF-003;CF-004	AD-001;AD-002;AD-004;BA-003;CF-002	BOUNDED_GAP_CLOSURE_INPUTS_REVIEWED_INCOMPLETE	OPEN_EVIDENCE_REQUIRED	OPEN_NO_ACCEPTANCE
generic-root-review:26c46ad7612eb40ca721	gpkg/fontconfig	c5c62dc15d6a897251c88cb7c2306b2a12dd16ba	GC-02;GC-03;GC-04;GC-05;GC-06	AD-001;AD-002;AD-003;AD-004;AD-005;BA-001;BA-002;BA-003;BA-004;BA-005;CF-001;CF-002;CF-003;CF-004	0	AD-003;AD-005;BA-001;BA-002;BA-004;BA-005;CF-001;CF-003;CF-004	AD-001;AD-002;AD-004;BA-003;CF-002	BOUNDED_GAP_CLOSURE_INPUTS_REVIEWED_INCOMPLETE	OPEN_EVIDENCE_REQUIRED	OPEN_NO_ACCEPTANCE
generic-root-review:2f6c3972ae083cff8dd2	gpkg/libepoxy	bb827daab0491d4ff49c822f96dd4bbb80102ef0	GC-02;GC-03;GC-04;GC-06	AD-002;AD-003;AD-004;AD-006;BA-001;BA-002;BA-003;BA-004;BA-005	0	AD-003;BA-001;BA-002;BA-004;BA-005	AD-002;AD-004;AD-006;BA-003	BOUNDED_GAP_CLOSURE_INPUTS_REVIEWED_INCOMPLETE	OPEN_EVIDENCE_REQUIRED	OPEN_NO_ACCEPTANCE
generic-root-review:3d9be682f93850cf8f44	gpkg/mesa	722eafd0258762f44c50228b3b66cc7a29cfcb3e	GC-02;GC-03;GC-04;GC-06	AD-001;AD-002;AD-003;AD-004;AD-005;BA-001;BA-002;BA-003;BA-004;BA-005	0	AD-003;AD-005;BA-001;BA-002;BA-004;BA-005	AD-001;AD-002;AD-004;BA-003	BOUNDED_GAP_CLOSURE_INPUTS_REVIEWED_INCOMPLETE	OPEN_EVIDENCE_REQUIRED	OPEN_NO_ACCEPTANCE
generic-root-review:4a78f00ce210555e73bc	gpkg/p11-kit	ad0661176a924458c36e3d6243aa83a52fe0fd55	GC-02;GC-03;GC-04;GC-06	AD-001;AD-002;AD-003;AD-004;BA-001;BA-002;BA-003;BA-004;BA-005	0	AD-003;BA-001;BA-002;BA-004;BA-005	AD-001;AD-002;AD-004;BA-003	BOUNDED_GAP_CLOSURE_INPUTS_REVIEWED_INCOMPLETE	OPEN_EVIDENCE_REQUIRED	OPEN_NO_ACCEPTANCE
generic-root-review:4cbb42bdf636a480b0f6	gpkg/dbus	d7c789ccea51cdb6d13196fd106f32daf6c75822	GC-02;GC-03;GC-04;GC-05;GC-06	AD-001;AD-002;AD-003;AD-004;AD-005;BA-001;BA-002;BA-003;BA-004;BA-005;CF-001;CF-002;CF-003;CF-004	0	AD-003;AD-005;BA-001;BA-002;BA-004;BA-005;CF-001;CF-003;CF-004	AD-001;AD-002;AD-004;BA-003;CF-002	BOUNDED_GAP_CLOSURE_INPUTS_REVIEWED_INCOMPLETE	OPEN_EVIDENCE_REQUIRED	OPEN_NO_ACCEPTANCE
generic-root-review:54ab99c9280e70c43600	gpkg/libxcursor	bb2495e04b246f60203d48720225ef13fa8a25bf	GC-02;GC-03;GC-04;GC-06	AD-001;AD-002;AD-003;AD-004;AD-005;BA-001;BA-002;BA-003;BA-004;BA-005	0	AD-003;AD-005;BA-001;BA-002;BA-004;BA-005	AD-001;AD-002;AD-004;BA-003	BOUNDED_GAP_CLOSURE_INPUTS_REVIEWED_INCOMPLETE	OPEN_EVIDENCE_REQUIRED	OPEN_NO_ACCEPTANCE
generic-root-review:59aa2f063b98cf767441	gpkg/libjpeg-turbo	cb58a7c1d7f4a1f89d036e4c80da596c0c61234c	GC-01;GC-02;GC-03;GC-04;GC-06	AD-001;AD-002;AD-003;AD-004;BA-001;BA-002;BA-003;BA-004;BA-005;OJ-001	0	AD-003;BA-001;BA-002;BA-004;BA-005;OJ-001	AD-001;AD-002;AD-004;BA-003	BOUNDED_GAP_CLOSURE_INPUTS_REVIEWED_INCOMPLETE	OPEN_EVIDENCE_REQUIRED	OPEN_NO_ACCEPTANCE
