acquisition_unit_id	root_review_id	recipe_root	recipe_tree	closure_lane_ids	requirement_ids	request_ids	batch_ids	supplier_roles	dependency_component_ids	direct_gap_requirement_ids	local_foundation_requirement_ids	manifest_scope_kind	manifest_scope_id	response_directory	completion_gate	request_state	responses_received	authority_state
generic-root-acquisition:ecae061e1cab89766d12	generic-root-review:0263d4b55d6a43edad7b	gpkg/libcairo	b80a0990d43609e09f1480394225d2b068ce5881	GC-02;GC-03;GC-04;GC-05;GC-06	AD-001;AD-002;AD-003;AD-004;AD-005;BA-001;BA-002;BA-003;BA-004;BA-005;CF-001;CF-002;CF-003;CF-004	SRQ-AD-001;SRQ-AD-002;SRQ-AD-003;SRQ-AD-004;SRQ-AD-005;SRQ-BA-001;SRQ-BA-002;SRQ-BA-003;SRQ-BA-004;SRQ-BA-005;SRQ-CF-001;SRQ-CF-002;SRQ-CF-003;SRQ-CF-004	SUP-02;SUP-03;SUP-04;SUP-05;SUP-06	DEVICE_PASSIVE_CAPTURE_OPERATOR;INDEPENDENT_LINUX_WORKSTATION_WITNESS_OR_SIGNED_PROVENANCE_CUSTODIAN;PRODUCING_BUILD_RECORD_CUSTODIAN;PROJECT_AGENT_CONSUMER_ALIAS_REVIEW;PROJECT_AGENT_POLICY_AUTHOR;PROJECT_AGENT_REPOSITORY_SEMANTIC_REVIEW	DEP-01;DEP-02;DEP-03;DEP-04;DEP-05;DEP-07;DEP-08;DEP-09;DEP-10;DEP-11;DEP-12;DEP-13	AD-003;AD-005;BA-001;BA-002;BA-004;BA-005;CF-001;CF-003;CF-004	AD-001;AD-002;AD-004;BA-003;CF-002	ROOT	generic-root-review:0263d4b55d6a43edad7b	evidence-supply/responses/units/root/generic-root-acquisition__ecae061e1cab89766d12/	ALL_ROOT_AND_DEPENDENT_OBJECT_ACQUISITION_RECORDS_COLLECTED_AND_SEPARATELY_REVIEWED	REQUEST_DEFINED_NOT_ISSUED	0	OPEN_NO_ACCEPTANCE
generic-root-acquisition:4aa34a8335180e0f2556	generic-root-review:0dacddae106c6bd1006b	gpkg/pango	f9e9e2303e2c91322f7edcf1bc0c3b99f2d1d74a	GC-02;GC-03;GC-04;GC-05;GC-06	AD-002;AD-003;AD-004;AD-006;BA-001;BA-002;BA-003;BA-004;BA-005;CF-001;CF-002;CF-003;CF-004	SRQ-AD-002;SRQ-AD-003;SRQ-AD-004;SRQ-AD-006;SRQ-BA-001;SRQ-BA-002;SRQ-BA-003;SRQ-BA-004;SRQ-BA-005;SRQ-CF-001;SRQ-CF-002;SRQ-CF-003;SRQ-CF-004	SUP-02;SUP-03;SUP-04;SUP-05;SUP-06	DEVICE_PASSIVE_CAPTURE_OPERATOR;INDEPENDENT_LINUX_WORKSTATION_WITNESS_OR_SIGNED_PROVENANCE_CUSTODIAN;PRODUCING_BUILD_RECORD_CUSTODIAN;PROJECT_AGENT_CONSUMER_ALIAS_REVIEW;PROJECT_AGENT_POLICY_AUTHOR;PROJECT_AGENT_REPOSITORY_SEMANTIC_REVIEW	DEP-02;DEP-03;DEP-04;DEP-06;DEP-07;DEP-08;DEP-09;DEP-10;DEP-11;DEP-12;DEP-13	AD-003;BA-001;BA-002;BA-004;BA-005;CF-001;CF-003;CF-004	AD-002;AD-004;AD-006;BA-003;CF-002	ROOT	generic-root-review:0dacddae106c6bd1006b	evidence-supply/responses/units/root/generic-root-acquisition__4aa34a8335180e0f2556/	ALL_ROOT_AND_DEPENDENT_OBJECT_ACQUISITION_RECORDS_COLLECTED_AND_SEPARATELY_REVIEWED	REQUEST_DEFINED_NOT_ISSUED	0	OPEN_NO_ACCEPTANCE
generic-root-acquisition:7078b9ee8e60636b38c7	generic-root-review:146b55949f1c16bde2a2	gpkg/libpng	c28b21ff2f072e880bce82fe81e4022b88945c22	GC-02;GC-03;GC-04;GC-05;GC-06	AD-001;AD-002;AD-003;AD-004;AD-005;BA-001;BA-002;BA-003;BA-004;BA-005;CF-001;CF-002;CF-003;CF-004	SRQ-AD-001;SRQ-AD-002;SRQ-AD-003;SRQ-AD-004;SRQ-AD-005;SRQ-BA-001;SRQ-BA-002;SRQ-BA-003;SRQ-BA-004;SRQ-BA-005;SRQ-CF-001;SRQ-CF-002;SRQ-CF-003;SRQ-CF-004	SUP-02;SUP-03;SUP-04;SUP-05;SUP-06	DEVICE_PASSIVE_CAPTURE_OPERATOR;INDEPENDENT_LINUX_WORKSTATION_WITNESS_OR_SIGNED_PROVENANCE_CUSTODIAN;PRODUCING_BUILD_RECORD_CUSTODIAN;PROJECT_AGENT_CONSUMER_ALIAS_REVIEW;PROJECT_AGENT_POLICY_AUTHOR;PROJECT_AGENT_REPOSITORY_SEMANTIC_REVIEW	DEP-01;DEP-02;DEP-03;DEP-04;DEP-05;DEP-07;DEP-08;DEP-09;DEP-10;DEP-11;DEP-12;DEP-13	AD-003;AD-005;BA-001;BA-002;BA-004;BA-005;CF-001;CF-003;CF-004	AD-001;AD-002;AD-004;BA-003;CF-002	ROOT	generic-root-review:146b55949f1c16bde2a2	evidence-supply/responses/units/root/generic-root-acquisition__7078b9ee8e60636b38c7/	ALL_ROOT_AND_DEPENDENT_OBJECT_ACQUISITION_RECORDS_COLLECTED_AND_SEPARATELY_REVIEWED	REQUEST_DEFINED_NOT_ISSUED	0	OPEN_NO_ACCEPTANCE
generic-root-acquisition:25f2deb2aec04d17b8ab	generic-root-review:26c46ad7612eb40ca721	gpkg/fontconfig	c5c62dc15d6a897251c88cb7c2306b2a12dd16ba	GC-02;GC-03;GC-04;GC-05;GC-06	AD-001;AD-002;AD-003;AD-004;AD-005;BA-001;BA-002;BA-003;BA-004;BA-005;CF-001;CF-002;CF-003;CF-004	SRQ-AD-001;SRQ-AD-002;SRQ-AD-003;SRQ-AD-004;SRQ-AD-005;SRQ-BA-001;SRQ-BA-002;SRQ-BA-003;SRQ-BA-004;SRQ-BA-005;SRQ-CF-001;SRQ-CF-002;SRQ-CF-003;SRQ-CF-004	SUP-02;SUP-03;SUP-04;SUP-05;SUP-06	DEVICE_PASSIVE_CAPTURE_OPERATOR;INDEPENDENT_LINUX_WORKSTATION_WITNESS_OR_SIGNED_PROVENANCE_CUSTODIAN;PRODUCING_BUILD_RECORD_CUSTODIAN;PROJECT_AGENT_CONSUMER_ALIAS_REVIEW;PROJECT_AGENT_POLICY_AUTHOR;PROJECT_AGENT_REPOSITORY_SEMANTIC_REVIEW	DEP-01;DEP-02;DEP-03;DEP-04;DEP-05;DEP-07;DEP-08;DEP-09;DEP-10;DEP-11;DEP-12;DEP-13	AD-003;AD-005;BA-001;BA-002;BA-004;BA-005;CF-001;CF-003;CF-004	AD-001;AD-002;AD-004;BA-003;CF-002	ROOT	generic-root-review:26c46ad7612eb40ca721	evidence-supply/responses/units/root/generic-root-acquisition__25f2deb2aec04d17b8ab/	ALL_ROOT_AND_DEPENDENT_OBJECT_ACQUISITION_RECORDS_COLLECTED_AND_SEPARATELY_REVIEWED	REQUEST_DEFINED_NOT_ISSUED	0	OPEN_NO_ACCEPTANCE
generic-root-acquisition:63ab31bc56156d262034	generic-root-review:2f6c3972ae083cff8dd2	gpkg/libepoxy	bb827daab0491d4ff49c822f96dd4bbb80102ef0	GC-02;GC-03;GC-04;GC-06	AD-002;AD-003;AD-004;AD-006;BA-001;BA-002;BA-003;BA-004;BA-005	SRQ-AD-002;SRQ-AD-003;SRQ-AD-004;SRQ-AD-006;SRQ-BA-001;SRQ-BA-002;SRQ-BA-003;SRQ-BA-004;SRQ-BA-005	SUP-02;SUP-03;SUP-04;SUP-06	INDEPENDENT_LINUX_WORKSTATION_WITNESS_OR_SIGNED_PROVENANCE_CUSTODIAN;PRODUCING_BUILD_RECORD_CUSTODIAN;PROJECT_AGENT_POLICY_AUTHOR;PROJECT_AGENT_REPOSITORY_SEMANTIC_REVIEW	DEP-02;DEP-03;DEP-04;DEP-06;DEP-07;DEP-08;DEP-09;DEP-10;DEP-11	AD-003;BA-001;BA-002;BA-004;BA-005	AD-002;AD-004;AD-006;BA-003	ROOT	generic-root-review:2f6c3972ae083cff8dd2	evidence-supply/responses/units/root/generic-root-acquisition__63ab31bc56156d262034/	ALL_ROOT_AND_DEPENDENT_OBJECT_ACQUISITION_RECORDS_COLLECTED_AND_SEPARATELY_REVIEWED	REQUEST_DEFINED_NOT_ISSUED	0	OPEN_NO_ACCEPTANCE
generic-root-acquisition:889e40698d89cf6badc2	generic-root-review:3d9be682f93850cf8f44	gpkg/mesa	722eafd0258762f44c50228b3b66cc7a29cfcb3e	GC-02;GC-03;GC-04;GC-06	AD-001;AD-002;AD-003;AD-004;AD-005;BA-001;BA-002;BA-003;BA-004;BA-005	SRQ-AD-001;SRQ-AD-002;SRQ-AD-003;SRQ-AD-004;SRQ-AD-005;SRQ-BA-001;SRQ-BA-002;SRQ-BA-003;SRQ-BA-004;SRQ-BA-005	SUP-02;SUP-03;SUP-04;SUP-06	INDEPENDENT_LINUX_WORKSTATION_WITNESS_OR_SIGNED_PROVENANCE_CUSTODIAN;PRODUCING_BUILD_RECORD_CUSTODIAN;PROJECT_AGENT_POLICY_AUTHOR;PROJECT_AGENT_REPOSITORY_SEMANTIC_REVIEW	DEP-01;DEP-02;DEP-03;DEP-04;DEP-05;DEP-07;DEP-08;DEP-09;DEP-10;DEP-11	AD-003;AD-005;BA-001;BA-002;BA-004;BA-005	AD-001;AD-002;AD-004;BA-003	ROOT	generic-root-review:3d9be682f93850cf8f44	evidence-supply/responses/units/root/generic-root-acquisition__889e40698d89cf6badc2/	ALL_ROOT_AND_DEPENDENT_OBJECT_ACQUISITION_RECORDS_COLLECTED_AND_SEPARATELY_REVIEWED	REQUEST_DEFINED_NOT_ISSUED	0	OPEN_NO_ACCEPTANCE
generic-root-acquisition:4d95eb08047ec75633bf	generic-root-review:4a78f00ce210555e73bc	gpkg/p11-kit	ad0661176a924458c36e3d6243aa83a52fe0fd55	GC-02;GC-03;GC-04;GC-06	AD-001;AD-002;AD-003;AD-004;BA-001;BA-002;BA-003;BA-004;BA-005	SRQ-AD-001;SRQ-AD-002;SRQ-AD-003;SRQ-AD-004;SRQ-BA-001;SRQ-BA-002;SRQ-BA-003;SRQ-BA-004;SRQ-BA-005	SUP-02;SUP-03;SUP-04;SUP-06	INDEPENDENT_LINUX_WORKSTATION_WITNESS_OR_SIGNED_PROVENANCE_CUSTODIAN;PRODUCING_BUILD_RECORD_CUSTODIAN;PROJECT_AGENT_POLICY_AUTHOR;PROJECT_AGENT_REPOSITORY_SEMANTIC_REVIEW	DEP-01;DEP-02;DEP-03;DEP-04;DEP-07;DEP-08;DEP-09;DEP-10;DEP-11	AD-003;BA-001;BA-002;BA-004;BA-005	AD-001;AD-002;AD-004;BA-003	ROOT	generic-root-review:4a78f00ce210555e73bc	evidence-supply/responses/units/root/generic-root-acquisition__4d95eb08047ec75633bf/	ALL_ROOT_AND_DEPENDENT_OBJECT_ACQUISITION_RECORDS_COLLECTED_AND_SEPARATELY_REVIEWED	REQUEST_DEFINED_NOT_ISSUED	0	OPEN_NO_ACCEPTANCE
generic-root-acquisition:d0f2d37c88dc2f39be01	generic-root-review:4cbb42bdf636a480b0f6	gpkg/dbus	d7c789ccea51cdb6d13196fd106f32daf6c75822	GC-02;GC-03;GC-04;GC-05;GC-06	AD-001;AD-002;AD-003;AD-004;AD-005;BA-001;BA-002;BA-003;BA-004;BA-005;CF-001;CF-002;CF-003;CF-004	SRQ-AD-001;SRQ-AD-002;SRQ-AD-003;SRQ-AD-004;SRQ-AD-005;SRQ-BA-001;SRQ-BA-002;SRQ-BA-003;SRQ-BA-004;SRQ-BA-005;SRQ-CF-001;SRQ-CF-002;SRQ-CF-003;SRQ-CF-004	SUP-02;SUP-03;SUP-04;SUP-05;SUP-06	DEVICE_PASSIVE_CAPTURE_OPERATOR;INDEPENDENT_LINUX_WORKSTATION_WITNESS_OR_SIGNED_PROVENANCE_CUSTODIAN;PRODUCING_BUILD_RECORD_CUSTODIAN;PROJECT_AGENT_CONSUMER_ALIAS_REVIEW;PROJECT_AGENT_POLICY_AUTHOR;PROJECT_AGENT_REPOSITORY_SEMANTIC_REVIEW	DEP-01;DEP-02;DEP-03;DEP-04;DEP-05;DEP-07;DEP-08;DEP-09;DEP-10;DEP-11;DEP-12;DEP-13	AD-003;AD-005;BA-001;BA-002;BA-004;BA-005;CF-001;CF-003;CF-004	AD-001;AD-002;AD-004;BA-003;CF-002	ROOT	generic-root-review:4cbb42bdf636a480b0f6	evidence-supply/responses/units/root/generic-root-acquisition__d0f2d37c88dc2f39be01/	ALL_ROOT_AND_DEPENDENT_OBJECT_ACQUISITION_RECORDS_COLLECTED_AND_SEPARATELY_REVIEWED	REQUEST_DEFINED_NOT_ISSUED	0	OPEN_NO_ACCEPTANCE
generic-root-acquisition:43a4c8a6dfe981d38191	generic-root-review:54ab99c9280e70c43600	gpkg/libxcursor	bb2495e04b246f60203d48720225ef13fa8a25bf	GC-02;GC-03;GC-04;GC-06	AD-001;AD-002;AD-003;AD-004;AD-005;BA-001;BA-002;BA-003;BA-004;BA-005	SRQ-AD-001;SRQ-AD-002;SRQ-AD-003;SRQ-AD-004;SRQ-AD-005;SRQ-BA-001;SRQ-BA-002;SRQ-BA-003;SRQ-BA-004;SRQ-BA-005	SUP-02;SUP-03;SUP-04;SUP-06	INDEPENDENT_LINUX_WORKSTATION_WITNESS_OR_SIGNED_PROVENANCE_CUSTODIAN;PRODUCING_BUILD_RECORD_CUSTODIAN;PROJECT_AGENT_POLICY_AUTHOR;PROJECT_AGENT_REPOSITORY_SEMANTIC_REVIEW	DEP-01;DEP-02;DEP-03;DEP-04;DEP-05;DEP-07;DEP-08;DEP-09;DEP-10;DEP-11	AD-003;AD-005;BA-001;BA-002;BA-004;BA-005	AD-001;AD-002;AD-004;BA-003	ROOT	generic-root-review:54ab99c9280e70c43600	evidence-supply/responses/units/root/generic-root-acquisition__43a4c8a6dfe981d38191/	ALL_ROOT_AND_DEPENDENT_OBJECT_ACQUISITION_RECORDS_COLLECTED_AND_SEPARATELY_REVIEWED	REQUEST_DEFINED_NOT_ISSUED	0	OPEN_NO_ACCEPTANCE
generic-root-acquisition:a2a24f630531a05086db	generic-root-review:59aa2f063b98cf767441	gpkg/libjpeg-turbo	cb58a7c1d7f4a1f89d036e4c80da596c0c61234c	GC-01;GC-02;GC-03;GC-04;GC-06	AD-001;AD-002;AD-003;AD-004;BA-001;BA-002;BA-003;BA-004;BA-005;OJ-001	SRQ-AD-001;SRQ-AD-002;SRQ-AD-003;SRQ-AD-004;SRQ-BA-001;SRQ-BA-002;SRQ-BA-003;SRQ-BA-004;SRQ-BA-005;SRQ-OJ-001	SUP-01;SUP-02;SUP-03;SUP-04;SUP-06	AGENT_REFERENCE_RESEARCH_WITH_OPERATOR_DECISION;INDEPENDENT_LINUX_WORKSTATION_WITNESS_OR_SIGNED_PROVENANCE_CUSTODIAN;PRODUCING_BUILD_RECORD_CUSTODIAN;PROJECT_AGENT_POLICY_AUTHOR;PROJECT_AGENT_REPOSITORY_SEMANTIC_REVIEW	DEP-01;DEP-02;DEP-03;DEP-04;DEP-07;DEP-08;DEP-09;DEP-10;DEP-11;DEP-14	AD-003;BA-001;BA-002;BA-004;BA-005;OJ-001	AD-001;AD-002;AD-004;BA-003	ROOT	generic-root-review:59aa2f063b98cf767441	evidence-supply/responses/units/root/generic-root-acquisition__a2a24f630531a05086db/	ALL_ROOT_AND_DEPENDENT_OBJECT_ACQUISITION_RECORDS_COLLECTED_AND_SEPARATELY_REVIEWED	REQUEST_DEFINED_NOT_ISSUED	0	OPEN_NO_ACCEPTANCE
