evidence_row_id	capability_partition	identity_label	artifact_id	package	version	architecture	expected_member_basename	direct_recipe_packages	comparison_edge_state	member_match_state	artifact_to_recipe_binding_state	termux_android_adaptation_state	final_provider_state	target_population_state
selected:038ff19f8fcdc358c1af	graphics	libVkLayer_MESA_device_select.so	generic-artifact:fc88e9a3b2ca583b6398	mesa-glibc	24.2.6	aarch64	libVkLayer_MESA_device_select.so	mesa;mesa-d3dadapter;mesa-dev;mesa-vulkan-icd-freedreno;mesa-vulkan-icd-swrast;osmesa	NAMED_MEMBER_SEARCH_CANDIDATE_ONLY	OPEN	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:038ff19f8fcdc358c1af	graphics	libVkLayer_MESA_device_select.so	generic-artifact:f45523463ae7a6b19c5c	mesa-vulkan-icd-freedreno-glibc	24.2.6	aarch64	libVkLayer_MESA_device_select.so	mesa;mesa-d3dadapter;mesa-dev;mesa-vulkan-icd-freedreno;mesa-vulkan-icd-swrast;osmesa	NAMED_MEMBER_SEARCH_CANDIDATE_ONLY	OPEN	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:038ff19f8fcdc358c1af	graphics	libVkLayer_MESA_device_select.so	generic-artifact:5f4640c28a8217a9319a	mesa-vulkan-icd-swrast-glibc	24.2.6	aarch64	libVkLayer_MESA_device_select.so	mesa;mesa-d3dadapter;mesa-dev;mesa-vulkan-icd-freedreno;mesa-vulkan-icd-swrast;osmesa	NAMED_MEMBER_SEARCH_CANDIDATE_ONLY	OPEN	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:05c00883459557230afc	audio	libasound.so.2.0.0	generic-artifact:5e9c487411c76170da4f	alsa-lib-glibc	1.2.13	aarch64	libasound.so.2.0.0	alsa-lib	NAMED_MEMBER_SEARCH_CANDIDATE_ONLY	OPEN	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:0802b57eadc2dd33925a	gtk-gui	libepoxy.so.0.0.0	generic-artifact:e53dc3b7f5419f13eb09	libepoxy-glibc	1.5.10	aarch64	libepoxy.so.0.0.0	libepoxy	NAMED_MEMBER_SEARCH_CANDIDATE_ONLY	OPEN	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:0b18b06fa4677d21f2ca	graphics	libvulkan_freedreno.so	generic-artifact:f45523463ae7a6b19c5c	mesa-vulkan-icd-freedreno-glibc	24.2.6	aarch64	libvulkan_freedreno.so	mesa-vulkan-icd-freedreno	NAMED_MEMBER_SEARCH_CANDIDATE_ONLY	OPEN	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:0eab80f8c75b58f5c92a	gtk-gui	libxkbcommon.so.0.0.0	generic-artifact:e58eca6f9c0e0d068d80	libxkbcommon-glibc	1.8.0	aarch64	libxkbcommon.so.0.0.0	libxkbcommon	NAMED_MEMBER_SEARCH_CANDIDATE_ONLY	OPEN	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:1997bce83f1eb5ffef9a	gtk-gui	libgobject-2.0.so.0.8400.4	generic-artifact:d91fe1202c51f7e59b12	glib-glibc	2.82.2-2	aarch64	libgobject-2.0.so.0.8400.4	glib;glib-bin	NAMED_MEMBER_SEARCH_CANDIDATE_ONLY	OPEN	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:1ae5e5d5ff7893c87e25	gtk-gui	libpango-1.0.so.0.5600.3	generic-artifact:7fdbef58f2a4fff712db	pango-glibc	1.54.0	aarch64	libpango-1.0.so.0.5600.3	pango	NAMED_MEMBER_SEARCH_CANDIDATE_ONLY	OPEN	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:1db5922d01fc2d9e4533	printing	libnettle.so.8.10	generic-artifact:8583729139206b5b11da	libnettle-glibc	3.10.1	aarch64	libnettle.so.8.10	libnettle;nettle	NAMED_MEMBER_SEARCH_CANDIDATE_ONLY	OPEN	OPEN	OPEN	UNRESOLVED	BLOCKED
